source,target
0,435
0,190
0,863
0,743
1,197
1,828
5,400
5,633
5,381
6,871
6,633
6,696
6,221
6,727
6,786
6,767
6,555
6,240
6,711
6,381
6,267
6,894
6,62
6,708
6,131
6,230
6,625
6,325
6,79
6,202
6,442
6,261
6,260
6,828
6,416
6,891
6,550
6,613
6,815
6,527
6,117
6,129
6,728
6,751
6,581
6,61
6,488
6,39
6,817
6,452
6,225
6,829
6,457
6,562
6,485
6,882
6,537
6,568
6,151
6,646
6,725
6,496
6,810
6,81
6,697
7,452
7,828
7,882
7,160
7,696
7,391
7,871
7,130
7,555
7,656
7,633
7,106
7,274
7,221
7,14
7,666
7,697
7,836
7,640
7,786
7,376
7,325
7,13
7,195
7,763
7,197
7,628
7,261
7,522
7,99
7,625
7,62
7,442
7,581
7,219
7,461
7,407
7,145
7,692
7,303
7,129
7,728
7,202
7,29
7,550
7,366
7,815
7,81
7,877
7,240
7,597
7,775
7,558
7,723
7,785
7,858
7,166
7,490
7,83
7,585
7,562
7,285
7,253
7,729
7,401
7,281
7,659
7,415
7,349
7,432
7,57
7,388
7,861
7,682
7,96
7,616
7,428
7,27
7,673
7,571
7,573
7,637
7,107
7,870
7,246
7,693
7,505
7,339
7,888
7,193
7,817
7,196
7,336
7,50
7,549
7,821
7,830
7,890
7,305
7,627
7,436
7,781
7,164
7,479
7,700
7,381
7,704
7,133
7,530
7,434
7,603
7,68
7,42
7,694
8,535
8,745
8,99
8,555
8,169
8,345
8,828
10,875
10,240
10,452
10,196
10,838
10,828
10,597
10,555
10,890
10,633
12,828
13,633
13,522
13,815
13,877
13,240
13,400
13,381
13,810
13,786
13,376
13,197
13,882
13,828
13,696
13,145
13,202
13,391
13,225
13,775
13,697
13,99
13,160
13,219
13,777
13,366
14,633
14,221
14,666
14,13
14,522
14,407
14,550
14,815
14,877
14,240
14,890
14,858
14,452
14,285
14,415
14,388
14,597
14,571
14,637
14,107
14,821
14,627
14,391
14,164
14,381
15,727
18,297
19,511
20,532
20,838
20,391
20,890
20,694
20,888
20,452
20,875
20,511
20,555
20,14
20,89
20,725
20,603
21,51
21,169
21,155
21,745
22,709
23,450
24,828
24,786
24,457
24,376
24,145
24,183
24,99
24,692
24,815
25,555
26,188
26,408
26,876
26,364
26,239
26,243
26,168
26,472
26,347
26,790
26,49
26,497
26,726
26,701
26,848
26,872
26,433
26,766
26,671
26,903
26,174
26,886
26,510
26,635
26,234
27,511
27,694
27,285
27,571
27,858
27,166
27,490
27,83
27,562
27,871
27,452
27,415
27,349
27,432
27,57
27,388
27,861
27,96
27,428
27,555
27,240
27,573
27,637
27,656
27,107
27,633
27,246
27,106
27,693
27,505
27,339
27,888
27,193
27,196
27,336
27,50
27,549
27,821
27,890
27,305
27,627
27,436
27,221
27,391
27,14
27,781
27,164
27,666
27,697
27,558
27,700
27,381
27,836
27,704
27,133
27,530
27,434
27,603
27,640
27,42
29,555
29,452
29,871
29,633
29,656
29,697
29,221
29,666
29,836
29,640
29,786
29,376
29,325
29,13
29,763
29,197
29,628
29,261
29,882
29,522
29,625
29,62
29,160
29,106
29,442
29,219
29,461
29,407
29,696
29,145
29,129
29,728
29,202
29,550
29,14
29,815
29,877
29,240
29,828
29,875
29,681
29,196
29,274
29,317
29,99
29,498
31,835
31,354
31,892
33,600
33,346
33,881
33,893
33,263
35,326
35,332
35,561
36,727
37,810
39,325
39,871
39,625
39,202
39,221
39,527
39,79
39,817
39,129
39,457
39,260
39,581
39,728
39,267
39,829
39,894
39,485
39,751
39,261
39,240
39,725
39,442
39,496
39,711
39,727
39,81
39,61
39,230
39,487
39,851
39,381
39,161
40,110
40,390
41,746
41,828
42,858
42,490
42,562
42,871
42,452
42,285
42,415
42,349
42,432
42,57
42,388
42,861
42,96
42,428
42,555
42,240
42,571
42,637
42,656
42,107
42,633
42,246
42,106
42,693
42,505
42,339
42,888
42,193
42,336
42,50
42,549
42,821
42,890
42,305
42,627
42,436
42,221
42,14
42,781
42,164
42,666
42,697
42,558
42,700
42,381
42,836
42,704
42,133
42,530
42,434
42,603
42,640
43,86
43,838
43,555
44,121
44,226
44,842
45,517
45,602
45,879
45,634
45,531
45,577
45,208
45,448
45,119
45,682
45,476
45,610
45,622
46,197
46,555
46,775
46,99
46,828
46,889
46,383
46,774
46,173
46,687
46,274
46,810
46,487
46,252
46,745
46,786
46,452
48,663
48,727
48,230
48,225
48,786
48,151
48,828
48,692
48,240
48,335
48,129
48,81
48,882
48,597
48,830
48,537
48,728
48,274
48,398
48,325
48,730
48,260
48,625
48,777
48,550
48,757
48,815
48,103
49,876
49,364
49,239
49,243
49,188
49,472
49,408
49,347
49,886
49,219
49,94
49,497
49,726
49,701
49,168
49,848
49,872
49,614
49,433
49,766
49,671
49,903
49,174
49,510
49,738
49,790
49,635
49,234
50,511
50,836
50,858
50,452
50,285
50,415
50,432
50,388
50,555
50,240
50,571
50,637
50,107
50,633
50,106
50,505
50,193
50,821
50,627
50,436
50,221
50,14
50,781
50,164
50,666
50,381
50,133
50,603
51,767
51,828
51,76
51,555
51,815
52,350
52,89
52,115
52,307
52,35
52,840
52,511
52,836
52,555
52,240
52,633
52,890
52,838
52,437
52,828
52,487
52,725
52,391
52,694
53,219
53,561
55,555
55,828
55,633
55,890
55,261
55,871
55,221
55,894
55,325
55,625
55,79
55,217
55,851
55,202
55,727
55,381
55,267
55,786
55,224
55,725
55,396
55,581
55,196
55,501
55,768
55,815
55,767
55,20
55,457
55,838
55,345
55,230
55,487
55,875
55,680
55,564
55,274
55,292
55,391
55,775
55,414
55,161
56,474
56,197
56,240
56,230
56,633
56,810
56,711
56,161
57,858
57,490
57,871
57,452
57,285
57,415
57,432
57,388
57,861
57,96
57,428
57,555
57,240
57,571
57,637
57,656
57,107
57,633
57,246
57,106
57,693
57,505
57,339
57,888
57,50
57,549
57,821
57,890
57,305
57,627
57,436
57,221
57,14
57,781
57,164
57,666
57,697
57,558
57,700
57,381
57,836
57,704
57,133
57,530
57,434
57,603
58,708
58,325
58,86
58,131
58,799
58,230
58,625
58,817
58,692
58,830
58,202
58,711
58,550
58,381
58,267
58,877
58,767
58,555
58,890
58,322
58,697
59,600
59,346
59,33
59,881
59,866
59,874
59,787
59,93
59,827
59,318
59,180
59,893
59,263
59,242
59,583
60,894
60,871
60,452
60,197
60,400
60,509
60,5
60,261
60,882
60,537
60,555
60,437
60,260
60,79
60,420
60,633
60,870
60,581
60,461
60,604
60,817
60,407
60,696
60,335
60,202
60,221
60,561
60,727
60,398
60,381
60,810
60,267
60,368
61,871
61,325
61,527
61,240
61,625
61,79
61,442
61,581
61,129
61,202
61,711
61,221
61,267
61,537
61,775
61,197
61,633
61,555
61,828
61,270
61,317
61,817
61,496
61,810
61,274
62,221
62,625
62,633
62,261
62,871
62,550
62,325
62,452
62,696
62,202
62,381
62,815
62,267
62,786
62,230
62,131
62,555
62,728
62,877
62,894
62,882
62,129
62,197
62,219
62,376
62,13
62,763
62,628
62,522
62,240
62,656
62,160
62,106
62,442
62,461
62,407
62,145
62,14
62,666
62,697
62,836
62,640
62,708
62,711
62,767
62,260
62,225
62,727
62,613
62,488
62,646
62,725
62,817
62,562
62,86
62,799
62,692
62,830
62,58
62,457
62,79
62,485
62,851
62,39
62,487
62,581
62,161
62,829
62,55
62,527
62,537
62,568
62,151
62,217
62,81
62,368
62,296
62,730
62,224
62,396
62,196
62,204
62,501
62,561
62,398
62,183
63,204
63,561
63,708
63,904
63,131
63,400
63,851
63,219
63,727
63,56
63,711
63,316
63,161
64,824
