node_id,cluster_id
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
10,2
12,2
13,3
14,2
16,3
17,3
18,2
21,2
22,2
23,2
25,3
26,2
27,3
28,2
30,3
31,3
33,2
35,2
36,3
37,3
38,4
40,4
42,2
43,3
44,3
45,2
46,4
49,3
51,3
52,3
53,5
59,2
61,2
63,6
64,5
68,5
70,5
71,5
73,6
74,3
76,2
77,4
78,5
81,7
82,2
84,3
85,2
87,6
88,3
90,3
93,2
94,3
96,5
97,4
101,4
102,7
103,7
105,4
106,5
107,3
108,2
109,7
112,4
113,4
114,5
115,3
116,5
119,6
123,6
124,6
125,7
128,4
129,7
130,7
131,6
132,6
133,3
134,6
136,7
138,5
139,7
140,5
141,5
143,3
146,3
148,4
150,3
151,3
152,5
153,4
154,3
155,2
156,3
157,4
161,3
166,4
167,3
168,2
169,6
171,3
172,4
174,5
176,7
178,9
180,3
181,3
182,2
183,3
184,9
185,6
187,2
188,4
189,6
190,10
192,6
193,8
194,12
195,4
196,2
197,6
198,7
199,2
200,12
202,4
203,5
204,5
205,8
207,10
209,11
210,5
211,7
212,7
214,8
215,9
216,7
218,6
219,5
220,2
221,11
223,14
224,11
226,8
229,5
230,10
231,10
238,6
239,14
240,10
243,5
245,2
246,8
247,4
248,6
249,11
250,5
252,6
253,4
254,6
256,6
257,17
259,4
260,9
263,7
264,4
266,4
268,3
269,6
271,13
272,19
273,10
274,5
275,9
277,3
279,10
286,7
287,15
289,12
292,4
293,10
294,9
299,17
301,7
302,5
303,24
304,18
305,3
307,19
308,13
311,12
313,16
314,23
315,8
316,4
317,11
319,4
320,19
321,3
322,21
323,21
324,7
325,25
326,14
327,18
328,8
331,6
333,19
334,24
335,11
336,12
337,3
339,10
341,2
344,7
345,2
346,8
347,16
351,15
352,5
355,23
356,6
358,28
359,8
361,8
362,31
363,8
364,9
365,30
366,11
367,2
368,6
370,17
371,19
373,13
374,6
375,5
376,17
379,7
380,9
381,6
384,37
386,22
388,6
390,20
391,2
392,30
394,12
397,40
399,6
400,27
401,38
403,22
405,3
406,24
408,37
409,22
410,12
413,9
415,3
419,29
420,11
423,19
424,8
426,34
427,18
428,5
429,35
431,17
432,36
434,4
436,26
438,44
439,7
440,7
441,25
442,10
443,11
444,11
446,2
448,16
449,13
450,12
452,5
453,20
456,8
457,26
458,26
459,62
461,18
464,58
465,16
466,60
467,9
468,81
469,12
470,54
471,13
472,8
473,55
474,55
475,28
476,3
478,8
481,8
482,71
485,64
486,14
488,27
490,5
493,35
495,50
496,46
497,7
499,80
501,3
503,32
505,9
507,59
509,17
511,9
512,23
516,49
518,24
519,73
521,33
523,7
527,5
528,20
529,70
530,29
531,52
533,75
535,67
536,78
538,80
539,9
541,74
542,5
543,61
544,2
546,13
547,21
548,15
550,88
551,10
553,7
556,11
557,66
558,47
560,56
561,23
565,65
567,70
568,83
569,58
570,78
572,2
575,31
576,48
577,73
578,49
579,35
580,16
581,63
584,2
585,84
588,9
595,86
596,82
598,77
601,43
603,6
604,34
605,47
606,7
607,21
609,41
612,51
614,79
615,39
616,7
617,85
618,43
620,41
621,16
626,20
627,75
629,36
632,3
633,18
635,12
640,28
641,14
642,2
643,68
644,45
646,72
648,17
649,22
651,27
652,29
654,57
655,2
657,76
658,38
663,14
667,16
668,13
669,10
671,14
672,64
673,15
678,2
680,56
682,26
683,44
684,2
686,65
687,57
688,42
691,3
692,67
696,24
698,52
699,23
705,14
706,2
707,5
710,33
711,16
712,4
714,46
716,3
717,40
719,8
721,48
722,19
723,42
726,82
727,25
728,68
730,41
731,11
732,2
733,13
735,18
736,27
741,39
742,32
744,54
745,10
746,51
747,30
748,12
749,25
751,2
755,69
758,72
759,4
761,29
762,88
763,6
764,37
765,15
767,60
768,4
769,53
774,16
776,9
777,76
779,34
780,15
781,13
782,7
785,3
786,33
788,36
789,22
793,31
794,84
795,15
796,13
799,8
800,85
804,74
806,20
807,15
808,8
810,14
812,14
813,87
815,6
816,86
818,2
823,22
828,18
831,42
832,59
833,4
834,4
835,5
837,6
838,81
840,17
842,32
844,39
848,79
849,53
853,63
856,11
858,62
859,4
861,21
863,69
864,4
865,43
866,30
867,4
870,83
871,3
872,28
873,4
874,3
875,40
876,66
877,3
878,15
879,61
881,21
882,10
883,38
884,45
885,31
886,6
887,7
888,18
893,12
895,20
896,71
897,87
900,44
901,50
905,77
906,11
