source,target
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,19
1,20
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,41
1,42
1,43
1,44
1,45
1,46
1,47
1,48
1,49
1,50
1,51
1,52
1,53
1,55
1,56
1,57
1,58
1,59
1,60
1,61
1,62
1,63
1,64
1,65
1,66
1,67
1,68
1,69
1,71
1,72
1,73
1,75
1,76
1,79
1,81
1,82
1,83
1,84
1,86
1,87
1,88
1,89
1,90
1,91
1,92
1,93
1,94
1,95
1,96
1,97
1,98
1,103
1,104
1,106
1,107
1,108
1,109
1,110
1,111
1,112
1,113
1,115
1,116
1,117
1,118
1,119
1,120
1,121
1,122
1,123
1,124
1,125
1,127
1,130
1,132
1,134
1,136
1,138
1,139
1,141
1,142
1,144
1,145
1,146
1,148
1,149
1,150
1,151
1,153
1,155
1,156
1,157
1,158
1,159
1,161
1,162
1,164
1,168
1,169
1,170
1,171
1,172
1,173
1,174
1,175
1,178
1,179
1,180
1,181
1,182
1,185
1,190
1,191
1,193
1,194
1,195
1,196
1,198
1,199
1,201
1,202
1,204
1,205
1,206
1,207
1,209
1,210
1,212
1,213
1,214
1,216
1,219
1,220
1,221
1,222
1,223
1,225
1,228
1,229
1,230
1,233
1,235
1,236
1,237
1,239
1,241
1,243
1,245
1,246
1,249
1,251
1,255
1,256
1,257
1,258
1,271
1,272
1,278
1,279
1,281
1,283
1,284
1,285
1,286
1,287
1,288
1,292
1,294
1,296
1,298
1,299
1,301
1,302
1,304
1,305
1,306
1,312
1,318
1,321
1,336
1,341
1,345
1,346
1,349
1,350
1,353
1,355
1,357
1,361
1,363
1,382
1,386
1,388
1,391
1,394
1,401
1,407
1,411
1,412
1,414
1,415
1,420
1,433
1,434
1,440
1,446
1,454
1,469
1,489
1,505
1,507
1,515
1,534
1,535
1,536
1,545
1,547
1,596
1,652
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,18
2,19
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,27
2,28
2,29
2,30
2,31
2,32
2,33
2,34
2,35
2,36
2,37
2,38
2,39
2,41
2,42
2,43
2,44
2,45
2,46
2,47
2,48
2,49
2,50
2,51
2,52
2,53
2,54
2,55
2,56
2,57
2,58
2,59
2,61
2,62
2,63
2,64
2,65
2,66
2,67
2,69
2,71
2,72
2,73
2,74
2,75
2,76
2,77
2,78
2,79
2,80
2,81
2,82
2,83
2,84
2,85
2,86
2,88
2,89
2,90
2,91
2,92
2,94
2,95
2,97
2,98
2,99
2,100
2,101
2,102
2,103
2,104
2,105
2,106
2,107
2,108
2,110
2,111
2,112
2,113
2,114
2,115
2,116
2,117
2,118
2,119
2,120
2,121
2,122
2,123
2,124
2,126
2,127
2,128
2,129
2,132
2,133
2,134
2,136
2,138
2,139
2,141
2,142
2,143
2,144
2,148
2,149
2,150
2,152
2,154
2,155
2,156
2,157
2,158
2,159
2,160
2,161
2,162
2,163
2,164
2,166
2,168
2,170
2,172
2,173
2,175
2,177
2,180
2,181
2,182
2,183
2,184
2,187
2,191
2,194
2,196
2,198
2,199
2,200
2,201
2,202
2,204
2,205
2,206
2,210
2,212
2,213
2,217
2,218
2,222
2,223
2,224
2,225
2,227
2,228
2,231
2,232
2,235
2,236
