node_id,cluster_id
1,2
2,2
3,2
4,3
5,2
6,3
7,3
8,3
10,3
12,4
13,2
14,2
16,4
17,2
18,3
20,3
21,3
22,4
23,3
25,4
26,2
27,2
28,4
30,4
31,4
33,4
35,3
36,2
37,3
38,2
40,3
42,3
43,3
44,5
45,3
46,3
49,4
50,3
51,2
52,3
53,5
58,3
59,5
61,5
63,6
64,2
68,4
70,2
71,4
73,2
74,4
75,4
76,6
77,4
78,5
80,3
81,5
82,2
83,5
84,6
85,2
87,2
88,2
90,3
93,3
94,3
96,5
97,2
101,6
102,4
103,3
104,2
105,5
106,4
107,6
108,6
109,2
112,3
113,3
114,2
115,5
116,3
119,2
123,2
124,5
125,2
126,2
128,5
129,4
130,4
131,4
132,4
133,6
134,2
135,2
136,3
138,4
139,7
140,2
141,3
143,2
146,5
148,3
149,3
150,2
151,3
152,5
153,5
154,4
155,8
156,8
157,4
159,5
161,3
164,2
166,8
167,3
168,4
169,5
171,3
172,5
174,7
176,7
178,9
180,12
181,4
182,12
183,11
184,10
185,9
186,3
187,9
188,11
189,6
190,12
192,7
193,7
194,4
195,3
196,5
197,3
198,3
199,6
200,5
201,3
202,2
203,2
204,5
205,3
207,5
209,3
210,2
211,7
212,3
214,3
215,6
216,9
218,12
219,3
220,3
221,2
223,3
224,11
226,7
229,2
230,4
231,7
238,14
239,5
240,9
243,16
245,4
246,2
247,6
248,8
249,2
250,16
252,3
253,5
254,5
256,9
257,13
259,15
260,5
261,8
263,7
264,8
266,9
268,7
269,5
271,4
272,2
273,11
274,15
275,10
277,9
279,5
286,12
287,11
288,6
289,19
292,11
293,4
294,2
299,8
301,4
302,6
303,11
304,4
305,6
307,3
308,5
310,5
311,19
313,4
314,8
315,6
316,3
317,4
319,3
320,4
321,14
322,23
323,10
324,5
325,8
326,2
327,10
328,6
331,15
333,12
334,3
335,8
336,7
337,17
339,5
341,4
343,26
344,18
345,2
346,19
347,12
351,11
352,15
353,24
355,6
356,3
358,9
359,3
361,19
362,3
363,17
364,16
365,5
366,21
367,10
368,14
370,5
371,4
373,15
374,20
375,8
376,9
379,2
380,7
381,2
384,5
386,2
387,6
388,14
390,12
391,4
392,22
394,5
397,26
399,6
400,6
401,32
402,6
403,7
405,30
406,8
408,2
409,4
410,15
413,17
415,10
419,4
420,4
423,14
424,4
426,6
427,3
428,24
429,14
431,3
432,13
434,2
436,20
438,7
439,27
440,3
441,17
442,25
443,13
444,2
446,15
448,24
449,14
450,7
452,6
453,2
456,19
457,7
458,12
459,5
461,46
462,19
464,4
465,50
466,18
467,51
468,3
469,31
470,65
471,5
472,6
473,28
474,9
475,10
476,9
478,2
481,16
482,11
485,10
486,4
488,21
490,6
492,29
493,29
495,38
496,10
497,34
498,9
499,36
501,5
502,58
503,6
505,30
507,6
509,4
510,31
511,31
512,13
516,2
518,4
519,4
521,47
523,40
526,8
527,13
528,3
529,17
530,25
531,23
532,3
533,58
535,2
536,16
538,4
539,35
541,9
542,5
543,12
544,25
546,12
547,50
548,16
550,3
551,3
553,10
556,46
557,13
558,28
560,53
561,43
565,55
567,57
568,5
569,52
570,3
572,37
575,2
576,7
577,11
578,8
579,66
580,5
581,4
584,6
585,42
586,23
588,32
589,12
593,41
595,47
596,60
598,34
601,56
602,2
603,15
604,24
605,49
606,25
607,18
609,9
612,39
614,2
615,62
616,4
617,63
618,60
619,54
620,22
621,3
623,17
626,23
627,3
629,11
632,21
633,27
635,56
640,20
641,4
642,63
643,22
644,20
646,8
648,10
649,52
651,18
652,2
654,10
655,6
656,13
657,7
658,2
661,44
663,23
666,49
667,9
668,11
669,13
671,14
672,33
673,2
678,54
680,18
682,7
683,9
684,6
686,5
687,7
688,40
691,8
692,2
694,32
696,13
698,22
699,2
704,41
705,33
706,21
707,2
710,43
711,12
712,27
714,12
716,7
717,2
719,3
721,17
722,9
723,3
725,23
726,2
727,20
728,4
730,24
731,10
732,21
733,59
735,13
736,44
741,21
742,6
744,2
745,7
746,10
747,13
748,20
749,16
751,30
754,5
755,26
758,14
759,6
761,13
762,2
763,45
764,48
765,2
767,14
768,66
769,3
774,18
775,8
776,36
777,2
779,28
780,9
781,5
782,53
785,17
786,8
787,6
788,4
789,2
793,16
794,18
795,12
796,16
797,61
799,8
800,6
804,4
806,62
807,51
808,10
810,8
812,4
813,7
815,7
816,64
818,3
823,64
825,2
828,11
831,10
832,21
833,35
834,2
835,3
837,3
838,3
840,59
842,9
844,16
848,19
849,57
853,29
856,39
858,6
859,38
861,2
863,11
864,45
865,3
866,22
867,15
870,2
871,61
872,2
873,13
874,2
875,2
876,20
877,42
878,2
879,8
881,37
882,11
883,5
884,18
885,22
886,15
887,3
888,3
891,9
893,6
895,11
896,48
897,65
900,22
901,26
905,55
906,5
