node_id,cluster_id
1,1
2,1
3,1
4,2
5,2
6,1
7,2
8,2
9,2
10,1
11,2
12,2
13,1
14,1
15,2
16,3
17,1
18,1
19,2
20,1
21,2
22,3
23,1
24,4
25,2
26,4
27,2
28,4
29,4
30,3
31,2
32,2
33,3
34,3
35,2
36,3
37,1
38,2
39,1
40,4
41,3
42,2
43,4
44,2
45,2
46,1
47,1
48,5
49,2
50,3
51,4
52,1
53,3
54,1
55,3
56,4
57,3
58,3
59,5
60,4
61,4
62,3
63,1
64,2
65,3
66,4
67,1
68,1
69,2
70,5
71,5
72,4
73,1
74,2
75,4
76,4
77,1
78,4
79,5
80,4
81,2
82,2
83,2
84,2
85,1
86,4
87,2
88,5
89,1
90,2
91,2
92,2
93,5
94,3
95,4
96,5
97,2
98,5
99,4
100,5
101,1
102,4
103,1
104,1
105,2
106,3
107,5
108,5
109,4
110,1
111,1
112,3
113,3
114,2
115,3
116,1
117,1
118,2
119,2
120,2
121,4
122,5
123,1
124,4
125,3
126,3
127,4
128,2
129,6
130,1
131,5
132,1
133,5
134,3
135,1
136,3
137,1
138,6
139,4
140,2
141,3
142,5
143,5
144,1
145,1
146,5
147,4
148,3
149,6
150,1
151,8
152,6
153,6
154,1
155,3
156,3
157,2
158,2
159,8
160,6
161,2
162,7
163,8
164,5
165,1
166,7
167,1
168,9
169,2
170,6
171,6
172,2
173,1
174,1
175,6
176,9
177,5
178,10
179,1
180,2
181,6
182,8
183,12
184,11
185,4
186,2
187,7
188,6
189,3
190,10
191,12
192,1
193,11
194,12
195,12
196,10
197,4
198,2
199,3
200,3
201,10
202,7
203,12
204,8
205,7
206,11
207,3
208,9
209,6
210,10
211,11
212,5
213,10
214,13
215,4
216,5
217,6
218,14
219,7
220,7
221,1
222,1
223,4
224,3
225,4
226,5
227,8
228,8
229,3
230,1
231,7
232,5
233,5
234,4
235,8
236,13
237,7
238,13
239,6
240,9
241,14
242,12
243,10
244,9
245,1
246,8
247,14
248,14
249,3
250,1
251,5
252,1
253,1
254,2
255,2
256,10
257,8
258,3
259,1
260,1
261,5
262,6
263,11
264,1
265,16
266,3
267,7
268,18
269,5
270,14
271,1
272,2
273,19
274,2
275,9
276,1
277,4
278,13
279,20
280,4
281,8
282,5
283,9
284,7
285,7
286,2
287,4
288,12
289,12
290,16
291,3
292,10
293,4
294,17
295,6
296,11
297,6
298,13
299,15
300,2
301,4
302,19
303,10
304,1
305,4
306,16
307,1
308,8
309,3
310,11
311,7
312,5
313,15
314,6
315,14
316,15
317,18
318,9
319,16
320,1
321,3
322,17
323,1
324,7
325,8
326,11
327,13
328,4
329,18
330,1
331,3
332,18
333,11
334,18
335,13
336,5
337,2
338,8
339,3
340,10
341,9
342,11
343,22
344,3
345,4
346,12
347,8
348,1
349,7
350,16
351,8
352,21
353,16
354,24
355,3
356,11
357,2
358,10
359,1
360,15
361,14
362,22
363,12
364,17
365,7
366,20
367,2
368,18
369,22
370,2
371,2
372,3
373,6
374,8
375,3
376,17
377,1
378,25
379,13
380,5
381,3
382,23
383,15
384,31
385,24
386,1
387,6
388,6
389,3
390,23
391,6
392,2
393,3
394,20
395,1
396,1
397,20
398,11
399,15
400,11
401,12
402,21
403,2
404,2
405,8
406,14
407,28
408,1
409,4
410,1
411,19
412,5
413,5
414,1
415,3
416,14
417,11
418,10
419,27
420,25
421,8
422,13
423,4
424,1
425,28
426,7
427,8
428,15
429,2
430,14
431,19
432,20
433,24
434,30
435,9
436,31
437,29
438,23
439,22
440,3
441,21
442,26
443,12
444,29
445,15
446,15
447,5
448,3
449,8
450,3
451,2
452,10
453,7
454,3
455,1
456,2
457,9
458,3
459,9
460,2
461,2
462,41
463,10
464,15
465,32
466,43
467,54
468,7
469,5
470,1
471,6
472,51
473,35
474,2
475,19
476,35
477,60
478,26
479,45
480,64
481,16
482,2
483,30
484,37
485,1
486,62
487,12
488,23
489,21
490,43
491,54
492,59
493,22
494,36
495,34
496,39
497,45
498,33
499,20
500,17
501,1
502,48
503,58
504,47
505,38
506,18
507,46
508,42
509,21
510,60
511,44
512,11
513,2
514,31
515,9
516,21
517,46
518,9
519,21
520,4
521,20
522,17
523,59
524,9
525,33
526,26
527,7
528,9
529,4
530,19
531,52
532,65
533,42
534,17
535,36
536,2
537,41
538,24
539,53
540,48
541,4
542,34
543,30
544,56
545,19
546,10
547,65
548,56
549,2
550,58
551,49
552,40
553,52
554,63
555,25
556,3
557,37
558,4
559,57
560,2
561,55
562,53
563,17
564,61
565,39
566,50
567,22
568,6
569,50
570,61
571,28
572,29
573,2
574,27
575,1
576,16
577,2
578,27
579,49
580,44
581,7
582,62
583,23
584,63
585,25
586,13
587,64
588,32
589,38
590,57
591,40
592,2
593,4
594,51
595,55
596,47
597,2
