node_id,cluster_id
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,2
12,1
13,1
14,1
15,2
16,2
17,1
18,1
19,1
20,1
21,2
22,2
23,1
24,2
25,2
26,2
27,1
28,2
29,2
30,2
31,1
32,1
33,3
34,2
35,2
36,3
37,1
38,2
39,1
40,3
41,2
42,2
43,5
44,3
45,3
46,1
47,1
48,5
49,2
50,4
51,4
52,1
53,3
54,1
55,3
56,5
57,4
58,5
59,6
60,5
61,5
62,4
63,1
64,3
65,4
66,5
67,2
68,2
69,2
70,6
71,6
72,5
73,1
74,3
75,5
76,6
77,1
78,5
79,6
80,5
81,3
82,3
83,2
84,2
85,1
86,5
87,3
88,6
89,2
90,3
91,3
92,3
93,6
94,4
95,5
96,6
97,3
98,6
99,5
100,6
101,2
102,5
103,2
104,1
105,3
106,4
107,6
108,6
109,5
110,1
111,1
112,4
113,4
114,3
115,4
116,2
117,1
118,3
119,2
120,2
121,5
122,6
123,2
124,5
125,4
126,4
127,4
128,3
129,6
130,1
131,5
132,1
133,5
134,4
135,2
136,4
137,1
138,6
139,4
140,2
141,3
142,4
143,4
144,2
145,1
146,5
147,4
148,3
149,6
150,1
151,7
152,6
153,6
154,1
155,3
156,3
157,2
158,3
159,7
160,6
161,3
162,7
163,7
164,5
165,2
166,7
167,1
168,8
169,3
170,7
171,7
172,2
173,1
174,2
175,7
176,9
177,6
178,10
179,2
180,4
181,7
182,8
183,10
184,9
185,5
186,2
187,8
188,7
189,4
190,10
191,11
192,1
193,11
194,11
195,11
196,10
197,5
198,3
199,4
200,5
201,10
202,8
203,11
204,8
205,8
206,10
207,4
208,9
209,7
210,10
211,11
212,7
213,12
214,13
215,6
216,7
217,8
218,15
219,9
220,9
221,1
222,2
223,6
224,4
225,6
226,8
227,11
228,10
229,5
230,2
231,10
232,8
233,8
234,6
235,11
236,14
237,9
238,14
239,9
240,12
241,14
242,13
243,12
244,12
245,1
246,13
247,15
248,16
249,6
250,2
251,9
252,1
253,2
254,4
255,3
256,12
257,10
258,5
259,2
260,1
261,8
262,9
263,13
264,2
265,16
266,5
267,10
268,17
269,7
270,15
271,1
272,3
273,17
274,3
275,12
276,1
277,7
278,15
279,18
280,8
281,12
282,9
283,14
284,12
285,11
286,3
287,7
288,16
289,16
290,18
291,5
292,16
293,8
294,20
295,12
296,16
297,10
298,18
299,19
300,4
301,8
302,21
303,15
304,2
305,9
306,20
307,2
308,13
309,7
310,16
311,17
312,13
313,23
314,14
315,22
316,23
317,26
318,18
319,24
320,1
321,11
322,25
323,2
324,15
325,16
326,19
327,21
328,12
329,25
330,2
331,6
332,25
333,20
334,26
335,21
336,13
337,4
338,15
339,9
340,19
341,18
342,19
343,29
344,9
345,11
346,21
347,17
348,3
349,15
350,24
351,17
352,28
353,23
354,30
355,6
356,20
357,4
358,19
359,2
360,22
361,22
362,28
363,20
364,24
365,14
366,27
367,4
368,25
369,29
370,4
371,5
372,6
373,13
374,15
375,7
376,26
377,2
378,30
379,21
380,19
381,13
382,39
383,32
384,43
385,39
386,4
387,22
388,23
389,14
390,38
391,22
392,11
393,13
394,36
395,1
396,3
397,36
398,31
399,33
400,30
401,31
402,38
403,10
404,5
405,27
406,33
407,42
408,4
409,18
410,3
411,35
412,21
413,20
414,4
415,14
416,33
417,31
418,30
419,41
420,40
421,27
422,32
423,17
424,5
425,42
426,26
427,28
428,34
429,10
430,34
431,37
432,37
433,40
434,43
435,24
436,43
437,41
438,39
439,37
440,14
441,36
442,40
443,28
444,42
445,29
446,29
447,17
448,8
449,18
450,7
451,6
452,32
453,23
454,9
455,3
456,17
457,35
458,27
459,35
460,5
461,45
462,71
463,53
464,54
465,66
466,73
467,80
468,50
469,49
470,38
471,51
472,78
473,67
474,47
475,58
476,68
477,84
478,62
479,74
480,87
481,55
482,46
483,64
484,69
485,34
486,85
487,54
488,61
489,60
490,73
491,80
492,83
493,60
494,69
495,67
496,71
497,75
498,65
499,57
500,56
501,41
502,77
503,83
504,76
505,68
506,56
507,75
508,72
509,59
510,84
511,74
512,52
513,45
514,64
515,51
516,59
517,77
518,52
519,58
520,48
521,61
522,57
523,85
524,50
525,70
526,63
527,49
528,53
529,47
530,63
531,81
532,87
533,78
534,62
535,72
536,44
537,79
538,65
539,82
540,79
541,46
542,70
543,76
544,86
545,55
546,48
547,86
548,82
549,44
550,81
551,66
