source,target
555,452
555,871
452,871
240,221
240,633
240,274
240,381
240,817
240,562
221,633
221,274
221,381
697,106
221,817
633,274
633,381
633,817
633,562
274,381
274,817
274,562
381,817
381,562
696,882
696,197
696,99
260,230
696,775
882,197
882,99
882,775
817,562
786,692
786,202
786,581
786,225
786,501
692,202
692,581
692,225
692,501
391,697
221,562
391,836
391,106
391,656
391,666
391,7
391,14
391,640
202,581
202,225
202,501
697,836
697,130
882,815
391,130
697,656
696,815
697,7
697,640
106,14
581,225
581,501
225,501
550,261
836,130
836,656
836,666
836,7
836,14
836,640
697,14
130,106
130,656
106,666
99,775
99,815
197,775
197,815
106,656
130,640
130,14
130,7
130,666
197,99
836,106
260,830
106,7
106,640
656,7
656,14
656,640
196,890
196,875
196,281
666,14
666,640
7,14
7,640
79,335
656,666
14,640
79,561
810,767
663,260
663,830
663,230
663,267
663,416
663,894
663,485
890,875
697,666
890,281
79,711
79,131
402,709
666,7
31,354
260,485
875,281
815,775
830,230
830,267
830,416
830,894
830,485
230,267
230,416
230,894
189,843
230,485
267,894
267,485
335,561
335,711
335,131
416,894
416,485
894,485
561,711
561,131
711,131
694,193
260,894
774,6
774,488
774,39
260,267
160,195
368,398
368,209
376,195
398,209
6,488
6,39
488,39
255,474
255,807
255,56
267,416
169,383
866,180
474,807
474,56
807,56
838,52
188,194
682,904
414,680
435,0
435,190
0,190
189,742
517,842
22,314
160,376
22,464
22,709
265,205
314,402
314,464
314,709
402,464
464,709
73,294
742,843
97,731
109,178
413,143
356,88
201,371
31,892
354,835
354,892
386,241
455,469
468,236
494,546
835,892
275,717
328,66
22,402
328,695
31,835
447,629
134,503
206,471
64,852
66,695
260,416
824,852
101,95
111,853
114,387
146,75
157,475
158,419
159,301
163,798
64,824
2,792
148,734
227,54
548,669
424,608
369,592
319,384
298,664
484,618
278,642
256,677
247,857
245,329
283,784
696,877
261,597
261,728
550,183
550,442
550,129
550,325
550,62
261,407
550,625
517,476
882,877
261,461
550,81
261,13
79,667
79,224
197,877
99,877
625,303
196,855
196,511
196,20
79,400
79,708
79,568
79,851
79,161
79,396
79,829
261,722
79,443
260,537
335,396
875,20
79,204
875,511
875,855
260,799
890,20
663,799
781,490
663,537
810,76
810,103
810,55
810,317
810,487
810,725
815,877
830,799
230,537
230,799
267,537
267,799
335,400
335,708
335,568
335,667
335,851
335,829
335,161
335,204
335,224
830,537
335,443
711,396
416,799
894,799
561,400
561,708
561,568
561,667
561,851
561,829
561,161
561,204
561,224
561,396
561,443
711,400
711,708
711,568
711,667
711,851
711,829
711,161
711,204
711,224
711,443
694,388
694,821
694,558
694,285
694,107
694,673
193,530
890,855
193,603
894,537
193,349
193,68
339,164
388,339
388,637
388,428
388,305
388,700
821,415
821,781
821,693
821,336
821,704
530,888
530,861
530,401
530,785
339,42
193,133
781,549
637,825
637,479
637,50
603,532
603,436
416,537
603,27
558,434
558,246
415,858
415,432
415,166
339,83
558,96
781,885
730,437
888,505
774,751
774,891
774,646
774,457
774,527
861,627
428,585
368,509
349,639
349,573
285,309
730,604
285,57
888,295
693,616
774,86
774,151
774,117
774,496
160,366
160,522
160,29
160,145
160,763
160,628
160,777
160,125
160,322
160,24
368,730
774,58
368,870
368,437
368,217
376,125
376,777
376,628
376,763
368,757
376,145
376,29
376,522
376,366
376,24
368,5
368,185
376,322
398,541
774,61
398,730
730,441
517,119
368,613
730,420
209,541
209,60
209,296
398,870
209,441
209,509
398,60
398,185
398,296
398,613
209,315
730,315
169,8
730,823
870,420
870,5
870,604
870,823
6,527
6,457
6,646
6,891
6,61
6,751
6,86
6,58
6,151
6,117
6,496
509,48
509,757
488,527
488,457
488,646
488,61
488,58
39,891
39,751
39,151
527,86
527,117
457,496
255,333
255,617
255,624
870,217
255,864
255,720
169,768
169,745
169,77
169,687
169,252
169,392
169,46
169,173
169,167
169,575
169,844
169,222
169,367
169,155
169,477
169,430
255,897
517,577
888,571
517,602
169,90
169,678
169,544
890,511
169,737
169,649
169,845
169,535
169,324
169,761
169,276
169,141
742,444
368,48
682,899
517,482
842,814
517,610
517,342
517,343
517,257
517,448
517,531
517,216
517,797
517,132
517,266
517,634
517,121
383,385
517,377
383,235
517,780
517,122
517,607
517,231
517,390
517,744
517,665
517,545
517,850
383,345
383,51
383,270
383,714
517,622
383,179
383,21
745,458
745,681
745,284
383,74
383,619
383,135
383,187
383,310
745,762
383,605
383,348
383,889
383,551
383,82
383,249
383,508
745,421
745,210
745,292
745,715
745,211
745,553
745,273
745,856
745,733
745,223
745,375
745,735
745,564
745,100
745,207
745,755
745,658
517,450
866,192
838,896
866,263
866,33
866,446
866,491
866,583
866,59
866,600
866,78
866,787
866,827
866,874
866,881
866,346
866,318
866,93
866,405
807,864
807,720
807,624
838,379
807,333
807,617
474,897
474,864
474,624
474,617
474,333
807,897
517,118
474,720
866,893
838,253
842,186
842,502
838,429
838,840
838,89
838,10
838,816
838,115
838,153
838,307
838,350
838,128
838,382
838,659
838,729
838,43
842,451
838,513
838,35
842,40
866,242
842,238
842,740
842,404
383,789
842,644
842,171
842,699
842,525
842,139
842,879
842,226
842,512
842,23
842,409
188,239
347,408
188,234
188,738
194,243
194,433
194,766
239,26
239,481
239,839
243,347
243,497
243,848
26,364
26,614
682,126
26,872
682,297
347,559
364,472
364,671
408,49
408,903
472,515
472,94
49,790
49,174
515,876
515,466
682,326
682,410
347,635
682,332
682,63
904,887
876,726
435,746
790,510
790,886
682,796
682,524
682,67
682,38
842,589
682,702
682,268
682,721
682,316
682,596
682,676
682,72
886,168
886,701
904,228
904,214
904,651
904,765
904,397
904,393
904,417
904,783
904,528
904,378
904,820
904,621
876,661
602,412
904,739
602,71
326,657
602,44
602,778
602,359
602,422
602,902
602,299
602,595
326,685
326,832
326,684
326,233
326,645
326,470
326,846
77,654
119,655
577,599
577,380
602,516
577,427
577,499
577,373
602,208
577,110
410,18
410,536
410,868
410,277
77,764
77,506
410,670
119,69
77,674
743,746
517,45
435,41
435,863
435,859
45,831
118,811
0,743
476,808
476,569
379,869
0,859
119,776
52,623
52,560
476,500
0,863
435,743
189,142
468,650
455,771
455,492
119,460
190,41
97,834
843,444
843,363
386,80
742,833
742,142
189,833
189,363
555,663
555,221
555,633
555,274
555,696
555,640
555,202
555,225
555,550
555,261
555,79
555,197
555,14
555,62
555,99
555,196
555,7
555,130
555,836
555,851
555,877
555,830
555,230
555,267
555,728
555,335
555,281
555,461
555,129
555,775
555,561
555,597
555,694
555,193
555,388
555,821
555,530
555,339
555,415
555,558
555,781
555,888
555,260
555,890
555,537
555,428
555,83
555,785
555,246
555,27
555,50
555,571
555,133
555,305
555,336
555,858
555,401
555,434
555,436
555,490
555,57
555,616
555,627
555,673
555,485
555,700
555,407
555,285
555,96
555,39
555,693
555,568
555,131
555,774
555,160
555,368
555,376
555,398
555,209
555,527
555,870
555,667
555,164
555,509
555,195
555,317
555,366
555,522
555,488
555,29
555,487
555,255
555,61
555,441
555,807
555,628
555,217
555,829
555,296
555,420
555,204
555,383
555,751
555,211
555,86
555,58
555,185
555,224
555,315
555,117
555,60
555,604
555,838
555,48
555,56
555,21
555,333
555,307
555,704
555,757
555,864
555,687
555,897
555,52
555,392
555,173
555,76
555,77
555,253
555,532
555,680
555,681
555,8
555,421
555,714
555,179
555,210
555,222
555,429
555,646
555,659
452,260
555,375
555,73
555,845
555,275
555,717
452,240
452,221
452,381
452,562
452,786
452,692
452,391
452,202
452,697
452,581
452,225
452,550
452,836
452,261
452,130
452,99
452,193
555,551
452,656
452,196
452,325
452,14
452,640
452,79
452,810
452,663
452,728
452,62
452,106
452,875
452,767
452,830
452,267
452,335
452,461
452,416
452,129
452,855
452,877
452,625
452,694
452,336
871,708
452,50
452,415
452,603
452,781
452,285
452,428
452,861
452,164
452,166
452,246
452,133
452,627
555,35
452,401
452,434
452,436
452,479
452,490
452,505
452,10
452,68
452,83
452,55
452,870
452,96
452,131
452,774
452,368
452,376
452,400
452,398
452,209
452,57
452,730
452,700
452,667
452,6
452,509
452,195
452,511
452,366
452,522
452,437
452,487
452,616
452,29
452,145
452,117
452,315
452,851
452,457
452,613
452,646
452,763
452,441
452,628
452,496
452,217
452,296
452,420
452,204
452,383
452,751
452,474
452,807
452,86
452,185
452,891
452,167
452,60
452,680
452,39
452,379
452,838
452,396
452,56
452,103
452,624
452,20
452,864
452,89
452,897
452,46
452,527
452,322
452,76
452,345
452,513
452,284
452,414
452,429
452,252
452,51
452,8
871,693
452,40
452,714
452,844
452,153
452,179
452,211
452,477
452,273
452,82
871,230
452,733
871,817
452,605
452,294
452,310
452,386
871,633
871,274
871,381
871,696
452,535
871,882
871,562
871,815
871,625
871,697
871,581
871,501
871,550
871,261
871,130
871,197
871,99
871,692
871,106
871,786
871,7
871,325
871,14
871,79
871,663
871,890
871,260
871,875
871,196
452,388
871,830
452,821
871,530
871,281
871,461
871,416
871,775
871,561
871,711
871,725
871,694
871,81
871,193
871,164
871,415
871,442
871,558
871,637
871,781
871,888
871,349
871,428
871,339
871,335
871,166
871,730
871,627
871,107
871,305
871,42
871,432
871,436
871,479
871,505
871,57
871,50
871,573
871,27
871,700
871,704
871,858
871,131
871,774
871,368
871,376
871,400
871,68
633,624
633,829
871,6
240,428
871,457
871,317
871,511
871,366
871,522
871,488
871,29
871,39
871,799
871,851
871,613
871,383
871,183
871,255
871,763
871,441
871,628
871,217
871,474
871,58
871,508
871,477
240,693
871,322
871,5
871,60
871,333
871,77
871,757
871,864
871,687
871,169
871,720
871,345
871,86
871,680
871,51
871,816
871,210
871,222
871,350
871,21
871,392
871,61
871,420
871,553
240,767
240,875
871,737
240,696
240,882
240,692
240,697
240,581
240,225
240,830
240,261
240,106
240,625
240,656
240,7
240,325
240,14
