source,target
106,13
106,131
106,160
106,209
106,217
106,219
106,230
106,255
106,260
106,267
106,317
106,335
106,366
106,398
106,400
106,407
106,416
106,437
106,442
106,457
106,461
106,485
106,487
106,488
106,496
106,501
106,509
106,515
106,527
106,530
129,646
129,708
130,129
130,260
130,267
130,317
130,335
130,416
130,442
130,457
130,461
130,485
130,488
130,509
130,527
130,537
14,13
14,260
14,317
14,485
14,488
14,509
14,527
14,537
14,561
14,568
14,6
14,61
14,613
14,627
14,628
196,13
196,131
196,145
196,183
196,195
196,197
196,209
196,217
196,225
196,230
196,255
196,260
196,267
196,29
196,296
196,317
196,335
196,366
196,368
196,376
196,39
196,398
196,400
196,407
196,416
196,437
196,441
196,442
196,457
196,461
196,474
197,129
197,13
197,130
197,131
197,145
197,195
197,267
197,400
197,457
197,487
197,488
197,496
197,511
197,527
197,530
197,537
197,558
197,56
197,568
197,58
197,585
197,597
197,6
197,60
197,603
197,604
197,61
197,614
197,616
197,617
202,106
202,107
202,117
202,13
202,131
202,133
202,160
202,164
202,166
202,169
202,183
202,193
202,195
202,196
202,209
202,230
202,239
202,243
202,246
202,260
202,27
202,274
202,281
202,285
202,296
202,305
202,315
202,325
202,336
202,339
202,347
202,349
202,364
202,368
202,388
202,398
202,400
202,401
202,408
202,415
202,416
202,42
202,420
202,428
219,129
219,13
219,130
219,197
219,209
219,267
219,281
219,29
219,317
219,335
219,416
219,437
219,457
219,487
219,488
219,496
219,5
219,501
219,509
219,511
219,527
219,530
219,549
219,550
219,558
219,568
219,57
219,571
219,573
221,10
221,103
221,118
221,131
221,133
221,160
221,161
221,164
221,168
221,169
221,173
221,174
221,183
221,188
221,194
221,195
221,209
221,217
221,224
221,234
221,239
221,240
221,243
221,252
221,255
221,26
221,260
221,27
221,274
221,305
221,317
221,322
221,326
221,332
221,333
221,343
221,347
221,349
221,35
221,350
221,364
221,368
221,376
221,383
221,396
221,398
221,401
221,407
221,408
221,414
221,416
221,428
221,432
221,433
221,436
221,437
221,441
221,451
221,457
221,46
221,461
221,466
221,472
221,474
225,106
225,129
225,130
225,209
225,217
225,219
225,255
225,267
225,303
225,317
225,368
225,407
225,437
225,461
225,496
225,497
225,50
225,509
225,511
225,515
225,530
225,549
225,55
225,558
225,56
225,561
225,57
225,571
225,573
225,585
225,597
225,60
225,603
225,604
230,129
230,13
230,131
230,14
230,160
230,195
230,209
230,255
230,281
230,29
230,303
230,317
230,325
230,335
230,366
230,376
230,442
230,487
230,496
230,511
230,522
230,530
230,558
230,573
240,107
240,117
240,129
240,13
240,151
240,161
240,168
240,173
240,174
240,188
240,193
240,194
240,196
240,204
240,209
240,219
240,224
240,225
240,234
240,239
240,243
240,246
240,26
240,27
240,285
240,296
240,303
240,315
240,333
240,335
240,336
240,339
240,347
240,364
240,368
240,39
240,391
240,398
240,400
240,408
240,414
240,416
240,420
240,428
240,432
240,436
240,437
240,457
240,46
240,461
240,466
240,472
260,160
260,335
260,376
260,488
260,522
260,597
260,61
260,613
261,133
261,160
261,161
261,166
261,193
261,196
261,204
261,217
261,219
261,230
261,255
261,260
261,267
261,27
261,274
261,281
261,285
261,315
261,339
261,349
261,364
261,388
261,391
261,401
261,415
261,420
261,436
261,437
261,441
261,443
261,457
261,474
261,479
261,48
261,488
261,49
261,490
261,496
261,497
261,50
261,505
261,51
261,510
267,160
267,376
267,461
267,522
267,6
267,613
267,62
274,13
274,130
274,131
274,14
274,183
274,209
274,219
274,225
274,281
274,285
274,29
274,303
274,315
274,349
274,366
274,368
274,388
274,39
274,391
274,398
274,401
274,416
274,441
274,442
274,443
274,457
274,461
274,474
274,479
274,488
274,49
274,490
274,497
274,50
274,505
274,51
274,510
274,513
274,515
274,517
325,267
325,376
325,488
325,527
325,537
325,561
325,61
325,613
325,628
325,637
325,646
325,666
325,667
325,673
325,68
325,693
325,694
325,700
325,701
325,704
325,708
325,715
381,107
381,117
381,13
381,130
381,14
381,145
381,151
381,160
381,164
381,188
381,194
381,195
381,196
381,202
381,209
381,225
381,239
381,243
381,255
381,26
381,261
381,27
381,285
381,29
381,296
381,303
381,315
381,325
381,333
381,336
381,339
381,347
381,364
381,366
381,398
381,400
381,401
381,408
381,420
381,428
381,441
381,442
381,443
381,461
381,472
381,48
381,49
391,13
391,131
391,145
391,183
391,209
391,217
391,230
391,255
391,260
391,267
391,296
391,303
391,317
391,335
391,339
391,368
391,376
391,39
391,398
391,400
391,407
391,416
391,437
391,441
391,442
391,457
391,474
391,479
391,48
391,485
391,487
391,488
391,49
391,496
391,497
391,5
391,50
391,505
391,510
391,513
391,515
452,106
452,115
452,118
452,119
452,125
452,126
452,145
452,151
452,164
452,166
452,167
452,168
452,174
452,185
452,188
452,193
452,194
452,195
452,20
452,202
452,216
452,224
452,234
452,239
452,243
452,255
452,26
452,260
452,284
452,29
452,296
452,303
452,307
452,326
452,332
452,335
452,341
452,342
452,343
452,347
452,349
452,35
452,350
452,364
452,368
452,376
452,377
452,383
452,396
452,408
452,410
452,416
452,42
452,428
452,432
452,433
452,434
452,436
452,437
452,448
452,45
452,451
452,457
452,461
452,466
452,472
452,474
452,476
461,335
461,485
461,6
461,613
461,628
485,129
485,6
485,628
501,131
501,195
501,209
501,217
501,317
501,325
501,400
501,416
501,461
501,487
501,509
501,511
501,522
501,530
501,537
501,558
501,56
501,561
501,568
501,585
501,60
501,603
501,614
501,616
501,62
501,624
501,627
501,63
501,634
501,635
501,637
550,130
550,131
550,14
550,209
550,255
550,281
550,366
550,398
550,400
550,416
550,457
550,496
550,501
550,509
550,511
550,515
550,522
550,527
550,530
550,55
550,558
550,56
550,561
550,57
550,571
550,573
550,58
550,585
550,603
550,604
550,614
550,616
550,617
550,624
555,103
555,115
555,118
555,119
555,125
555,126
555,131
555,145
555,151
555,153
555,160
555,164
555,167
555,168
555,169
555,171
555,174
555,183
555,185
555,188
555,194
555,196
555,197
555,20
555,202
555,204
555,209
555,210
555,216
555,217
555,222
555,224
555,226
555,234
555,239
555,243
555,249
555,252
555,26
555,267
555,27
555,273
555,276
555,284
555,29
555,296
555,297
555,305
555,307
555,316
555,317
555,322
555,326
555,332
555,333
555,335
555,336
555,342
555,343
555,347
555,35
555,350
555,364
555,366
555,367
555,368
555,376
555,377
555,383
555,388
555,39
555,392
555,396
555,397
555,400
555,407
555,408
555,410
555,412
555,415
555,42
555,421
555,433
555,441
555,442
555,443
555,448
555,45
555,451
555,461
561,6
561,628
561,646
561,693
561,694
561,704
562,129
562,131
562,145
562,160
562,183
562,195
562,217
562,255
562,260
562,281
562,29
562,303
562,335
562,368
562,388
562,400
562,442
562,461
562,479
562,49
562,497
562,50
562,515
562,52
562,537
562,549
562,55
562,550
562,56
562,57
562,571
562,573
562,577
562,6
562,604
562,610
562,614
562,616
562,617
562,62
581,106
581,13
581,130
581,195
581,219
581,230
581,255
581,267
581,29
581,296
581,335
581,388
581,39
581,398
581,437
