node_id,cluster_id
0,0
100,43
101,41
103,2
106,11
107,13
109,45
110,26
111,86
114,46
115,20
117,6
118,27
119,27
121,19
122,19
126,19
128,14
129,10
13,10
130,11
131,3
132,27
133,13
134,48
139,27
14,11
142,49
143,69
145,12
146,37
148,50
151,6
153,20
155,15
157,51
158,52
159,64
160,12
161,3
163,85
164,13
166,13
167,15
168,22
169,17
171,27
173,28
174,22
178,45
179,15
180,25
183,2
185,2
186,27
187,55
188,22
189,49
190,0
192,25
193,13
194,22
195,12
196,11
197,1
2,84
20,18
201,68
202,7
204,2
205,56
206,57
208,27
209,2
21,15
210,15
211,53
214,19
216,27
217,2
22,21
221,5
222,15
223,15
224,2
225,7
226,19
227,59
228,19
230,9
231,27
233,47
234,22
235,15
236,73
238,27
239,22
240,4
241,38
242,25
243,22
245,67
246,13
247,60
249,55
252,17
253,14
255,30
256,82
257,27
26,22
260,9
261,10
263,25
265,56
266,27
267,9
268,19
27,13
273,39
274,4
275,61
276,54
277,62
278,77
281,11
283,83
284,15
285,13
29,12
292,15
294,36
296,2
297,19
298,63
301,64
303,10
305,13
307,20
31,24
310,65
314,21
315,2
316,19
317,2
318,25
319,66
322,31
325,10
326,19
328,33
329,67
33,25
332,19
333,30
335,3
336,13
337,15
339,13
342,27
343,19
345,15
346,25
347,22
348,23
349,13
35,20
350,20
354,24
356,40
359,27
363,49
364,22
366,12
367,15
368,2
369,75
371,68
373,27
376,12
377,27
379,15
38,62
380,27
381,5
382,20
383,17
384,66
385,15
386,38
387,46
388,13
39,6
390,26
391,11
392,15
393,19
396,2
397,19
398,2
40,26
400,3
401,13
402,21
404,27
407,10
408,22
409,27
41,0
410,19
412,27
413,69
414,29
415,13
416,9
417,19
419,52
42,13
420,2
421,39
422,26
424,70
427,27
428,13
429,15
430,15
432,13
433,22
434,13
435,0
436,13
437,2
44,19
441,2
442,10
443,2
444,49
446,25
447,71
448,27
45,27
450,19
451,27
452,4
455,72
457,6
46,28
461,10
464,21
466,22
468,73
469,72
470,35
471,57
472,22
474,30
475,51
476,27
477,15
479,13
48,2
481,22
482,27
484,76
485,9
487,8
488,6
49,22
490,13
491,25
492,72
494,74
496,6
497,22
499,27
5,2
50,13
501,7
502,27
503,48
505,13
508,15
509,2
51,15
510,22
511,18
512,27
513,44
515,22
516,27
517,16
52,20
522,12
525,19
527,6
528,58
530,13
531,27
532,18
535,15
536,35
537,9
54,59
541,2
546,74
548,81
549,13
55,8
550,10
551,54
553,15
555,4
558,13
559,22
56,30
561,3
562,5
564,15
568,3
569,27
57,13
571,13
573,13
575,15
577,27
58,6
581,7
583,25
585,13
59,25
592,75
596,19
597,10
6,6
60,2
600,25
602,16
603,13
604,2
607,19
608,70
61,6
610,27
612,31
613,2
614,22
616,13
617,30
618,76
619,65
62,10
621,58
622,27
623,44
624,30
625,10
627,13
628,12
629,71
63,19
633,4
634,27
635,22
637,13
64,32
640,11
642,77
644,27
645,78
646,6
649,79
650,73
651,19
654,55
655,27
656,11
657,78
659,15
66,33
661,22
663,9
664,63
665,80
666,11
667,3
669,81
67,34
671,22
673,13
676,19
677,82
68,13
680,29
681,23
682,16
684,19
685,19
687,17
69,27
692,7
693,13
694,13
695,33
696,7
697,11
699,27
7,11
700,13
701,22
702,19
704,13
708,3
709,21
71,27
711,3
714,15
717,61
72,19
720,30
721,19
725,8
726,22
728,10
729,14
73,36
730,2
731,42
733,43
734,50
735,79
737,43
738,22
739,19
740,27
742,49
743,0
744,27
745,17
746,0
75,37
751,6
757,2
76,15
761,15
763,12
765,19
766,22
767,8
768,15
77,17
771,72
774,8
775,1
777,12
778,27
78,25
780,27
781,13
783,19
784,83
785,13
786,7
787,25
789,15
79,3
790,22
792,84
796,47
797,27
798,85
799,2
8,15
80,38
807,30
808,27
81,10
810,8
811,27
814,27
815,1
816,14
817,5
82,39
820,78
821,13
823,2
824,32
827,25
829,3
83,13
830,9
831,27
832,47
833,49
834,42
835,24
836,11
838,18
839,22
840,20
842,16
843,49
845,15
848,22
850,80
851,3
852,32
853,86
855,13
856,53
857,60
858,13
859,0
86,6
861,13
863,0
864,30
866,16
870,2
871,4
872,22
874,25
875,11
876,22
877,10
879,27
88,40
881,25
882,7
886,22
887,34
888,13
889,28
89,20
890,11
891,6
892,24
893,25
894,9
896,44
897,30
899,62
902,27
903,22
904,19
93,25
94,22
95,41
96,13
97,42
99,1
