=== Invocation 2026-04-24T00:24:53Z | seed=1 | keep_state=1 | pid=279846 | host=nah-popos ===
=== [Stage 1 (profile)] examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/profile/time_and_err.log ===
[Stage 1 (profile)] === 2026-04-24T00:24:53Z | pid=279846 | host=nah-popos | EXECUTED ===
[Stage 1 (profile)] 	Command being timed: "python /home/vltanh/Documents/network-generation/externals/ec-sbm/src/profile.py --edgelist examples/input/empirical_networks/networks/dnc/dnc.csv --clustering examples/input/reference_clusterings/clusterings/sbm-flat-best+cc/dnc/com.csv --output-folder examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/profile --params-file examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/profile/params.txt"
[Stage 1 (profile)] 	User time (seconds): 0.18
[Stage 1 (profile)] 	System time (seconds): 0.02
[Stage 1 (profile)] 	Percent of CPU this job got: 99%
[Stage 1 (profile)] 	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.21
[Stage 1 (profile)] 	Average shared text size (kbytes): 0
[Stage 1 (profile)] 	Average unshared data size (kbytes): 0
[Stage 1 (profile)] 	Average stack size (kbytes): 0
[Stage 1 (profile)] 	Average total size (kbytes): 0
[Stage 1 (profile)] 	Maximum resident set size (kbytes): 88496
[Stage 1 (profile)] 	Average resident set size (kbytes): 0
[Stage 1 (profile)] 	Major (requiring I/O) page faults: 0
[Stage 1 (profile)] 	Minor (reclaiming a frame) page faults: 14265
[Stage 1 (profile)] 	Voluntary context switches: 22
[Stage 1 (profile)] 	Involuntary context switches: 53
[Stage 1 (profile)] 	Swaps: 0
[Stage 1 (profile)] 	File system inputs: 0
[Stage 1 (profile)] 	File system outputs: 72
[Stage 1 (profile)] 	Socket messages sent: 0
[Stage 1 (profile)] 	Socket messages received: 0
[Stage 1 (profile)] 	Signals delivered: 0
[Stage 1 (profile)] 	Page size (bytes): 4096
[Stage 1 (profile)] 	Exit status: 0
[Stage 1 (profile)] === exit=0 ===

=== [Stage 1 (profile)] examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/profile/run.log ===
[Stage 1 (profile)] 2026-04-23 19:24:53,645 - INFO - Input reading elapsed: 0.0091 seconds
[Stage 1 (profile)] 2026-04-23 19:24:53,646 - INFO - Outlier transform elapsed: 0.0011 seconds
[Stage 1 (profile)] 2026-04-23 19:24:53,647 - INFO - Mappings computation elapsed: 0.0002 seconds
[Stage 1 (profile)] 2026-04-23 19:24:53,657 - INFO - Outputs export elapsed: 0.0106 seconds

=== [Stage 2 (gen_clustered)] examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/gen_clustered/time_and_err.log ===
[Stage 2 (gen_clustered)] === 2026-04-24T00:24:53Z | pid=279846 | host=nah-popos | EXECUTED ===
[Stage 2 (gen_clustered)] 	Command being timed: "python /home/vltanh/Documents/network-generation/externals/ec-sbm/src/gen_clustered.py --node-id examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/profile/node_id.csv --cluster-id examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/profile/cluster_id.csv --assignment examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/profile/assignment.csv --degree examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/profile/degree.csv --mincut examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/profile/mincut.csv --edge-counts examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/profile/edge_counts.csv --output-folder examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/gen_clustered --seed 1 --sbm-overlay"
[Stage 2 (gen_clustered)] 	User time (seconds): 0.89
[Stage 2 (gen_clustered)] 	System time (seconds): 0.08
[Stage 2 (gen_clustered)] 	Percent of CPU this job got: 99%
[Stage 2 (gen_clustered)] 	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.98
[Stage 2 (gen_clustered)] 	Average shared text size (kbytes): 0
[Stage 2 (gen_clustered)] 	Average unshared data size (kbytes): 0
[Stage 2 (gen_clustered)] 	Average stack size (kbytes): 0
[Stage 2 (gen_clustered)] 	Average total size (kbytes): 0
[Stage 2 (gen_clustered)] 	Maximum resident set size (kbytes): 260252
[Stage 2 (gen_clustered)] 	Average resident set size (kbytes): 0
[Stage 2 (gen_clustered)] 	Major (requiring I/O) page faults: 0
[Stage 2 (gen_clustered)] 	Minor (reclaiming a frame) page faults: 38196
[Stage 2 (gen_clustered)] 	Voluntary context switches: 219
[Stage 2 (gen_clustered)] 	Involuntary context switches: 61
[Stage 2 (gen_clustered)] 	Swaps: 0
[Stage 2 (gen_clustered)] 	File system inputs: 0
[Stage 2 (gen_clustered)] 	File system outputs: 136
[Stage 2 (gen_clustered)] 	Socket messages sent: 0
[Stage 2 (gen_clustered)] 	Socket messages received: 0
[Stage 2 (gen_clustered)] 	Signals delivered: 0
[Stage 2 (gen_clustered)] 	Page size (bytes): 4096
[Stage 2 (gen_clustered)] 	Exit status: 0
[Stage 2 (gen_clustered)] === exit=0 ===

=== [Stage 2 (gen_clustered)] examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/gen_clustered/run.log ===
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,490 - INFO - Starting EC-SBM clustered generation (sbm_overlay=True)...
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,527 - INFO - Input loading elapsed: 0.0369 seconds
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,528 - INFO - Generating cluster 19 (N=6 | k=5)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,528 - INFO - Generating cluster 28 (N=4 | k=3)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,528 - INFO - Generating cluster 16 (N=8 | k=7)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,529 - INFO - Generating cluster 8 (N=14 | k=13)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,531 - INFO - Generating cluster 7 (N=15 | k=14)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,533 - INFO - Generating cluster 23 (N=4 | k=3)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,533 - INFO - Generating cluster 10 (N=12 | k=4)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,534 - INFO - Generating cluster 20 (N=6 | k=3)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,534 - INFO - Generating cluster 14 (N=9 | k=6)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,535 - INFO - Generating cluster 1 (N=50 | k=49)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,561 - INFO - Generating cluster 5 (N=29 | k=3)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,563 - INFO - Generating cluster 11 (N=10 | k=6)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,564 - INFO - Generating cluster 9 (N=14 | k=2)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,564 - INFO - Generating cluster 25 (N=4 | k=3)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,565 - INFO - Generating cluster 12 (N=10 | k=3)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,565 - INFO - Generating cluster 18 (N=6 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,565 - INFO - Generating cluster 21 (N=5 | k=2)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,565 - INFO - Generating cluster 2 (N=36 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,566 - INFO - Generating cluster 4 (N=33 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,567 - INFO - Generating cluster 0 (N=52 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,569 - INFO - Generating cluster 13 (N=9 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,569 - INFO - Generating cluster 6 (N=19 | k=18)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,572 - INFO - Generating cluster 3 (N=33 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,573 - INFO - Generating cluster 30 (N=3 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,573 - INFO - Generating cluster 37 (N=3 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,573 - INFO - Generating cluster 45 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,573 - INFO - Generating cluster 24 (N=4 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,574 - INFO - Generating cluster 44 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,574 - INFO - Generating cluster 43 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,574 - INFO - Generating cluster 34 (N=3 | k=2)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,574 - INFO - Generating cluster 58 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,574 - INFO - Generating cluster 15 (N=8 | k=2)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,574 - INFO - Generating cluster 39 (N=3 | k=2)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,574 - INFO - Generating cluster 59 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,574 - INFO - Generating cluster 36 (N=3 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,574 - INFO - Generating cluster 38 (N=3 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,574 - INFO - Generating cluster 27 (N=4 | k=3)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,574 - INFO - Generating cluster 17 (N=7 | k=2)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,575 - INFO - Generating cluster 22 (N=5 | k=4)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,575 - INFO - Generating cluster 60 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,575 - INFO - Generating cluster 48 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,575 - INFO - Generating cluster 79 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,575 - INFO - Generating cluster 35 (N=3 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,575 - INFO - Generating cluster 52 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,575 - INFO - Generating cluster 54 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,575 - INFO - Generating cluster 71 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,575 - INFO - Generating cluster 40 (N=3 | k=2)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,575 - INFO - Generating cluster 26 (N=4 | k=3)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,576 - INFO - Generating cluster 68 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,576 - INFO - Generating cluster 33 (N=3 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,576 - INFO - Generating cluster 29 (N=4 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 19:24:54,576 - INFO - Generating cluster 41 (N=3 | k=1)
