source,target
555,452
107,627
107,616
107,585
107,573
107,57
107,505
107,490
107,479
107,436
107,434
107,432
107,673
107,42
107,336
107,305
107,133
571,96
571,858
571,83
571,785
571,704
571,700
571,68
571,673
107,401
107,68
107,700
107,704
133,83
133,785
133,704
133,700
133,68
133,673
133,627
133,616
133,585
133,573
133,57
133,505
133,490
133,479
133,436
133,434
133,432
133,42
133,401
133,336
133,305
107,96
107,858
107,83
107,785
571,627
133,858
571,616
571,573
549,436
549,434
549,432
549,42
549,401
549,336
549,305
549,133
549,107
549,571
50,96
549,479
50,858
50,785
50,704
50,700
50,68
50,673
50,627
50,616
50,585
50,573
50,57
50,505
50,83
549,490
549,505
549,57
571,57
571,505
571,490
571,479
571,436
571,434
571,432
571,42
571,401
571,336
571,305
571,133
571,107
549,96
549,858
549,83
549,785
549,704
549,700
549,68
549,673
549,627
549,616
549,585
549,573
571,585
133,96
305,336
305,401
432,434
42,96
42,858
42,83
42,785
42,704
42,700
42,68
42,673
42,627
42,616
432,436
42,585
42,57
42,505
42,490
42,479
42,436
42,434
42,432
407,303
401,96
401,858
401,83
42,573
432,479
432,490
432,505
434,700
434,68
434,673
434,627
434,616
434,585
434,573
434,57
434,505
434,490
434,479
434,436
432,96
432,858
432,83
432,785
432,704
432,700
432,68
432,673
432,627
432,616
432,585
432,573
432,57
401,785
401,704
401,700
401,68
336,436
336,434
336,432
336,42
336,401
305,96
305,858
305,83
305,785
305,704
305,700
305,68
305,673
305,627
305,616
305,585
305,573
305,57
305,505
305,490
305,479
305,436
305,434
305,432
305,42
336,479
50,490
336,490
336,57
401,673
401,627
401,616
401,585
401,573
401,57
401,505
401,490
401,479
401,436
401,434
401,432
401,42
336,96
336,858
336,83
336,785
336,704
336,700
336,68
336,673
336,627
336,616
336,585
336,573
336,505
434,704
50,479
50,434
861,434
861,432
861,42
861,401
861,336
861,305
861,133
861,107
861,571
861,549
861,50
861,436
861,27
861,166
861,164
693,96
693,858
693,83
693,785
693,704
693,700
693,68
693,673
693,627
861,246
861,479
861,490
861,505
164,42
164,401
164,336
164,305
164,133
164,107
164,571
164,549
164,50
164,27
164,246
164,166
861,96
861,858
861,83
861,785
861,704
861,700
861,68
861,673
861,627
861,616
861,585
861,573
861,57
693,616
164,432
693,585
693,57
637,616
637,585
637,573
637,57
637,505
637,490
637,479
637,436
637,434
637,432
637,42
637,627
637,401
637,305
637,133
637,107
637,571
637,549
637,50
637,27
637,246
637,166
637,164
637,861
637,336
637,673
637,68
637,700
693,505
693,490
693,479
693,436
693,434
693,432
693,42
693,401
693,336
693,305
693,133
693,107
693,571
693,549
693,50
693,27
693,246
693,166
693,164
693,861
637,96
637,858
637,83
637,785
637,704
693,573
164,434
164,436
164,479
27,401
27,336
27,305
27,133
27,107
27,571
27,549
27,50
246,96
246,858
246,83
27,42
246,785
246,700
246,68
246,673
246,627
246,616
246,585
246,573
246,57
246,505
246,490
246,479
246,704
27,432
27,434
27,436
50,432
50,42
50,401
50,336
50,305
50,133
50,107
50,571
50,549
27,96
27,858
27,83
27,785
27,704
27,700
27,68
27,673
27,627
27,616
27,585
27,573
27,57
27,505
27,490
27,479
246,436
246,434
246,432
246,42
166,401
166,336
166,305
166,133
166,107
166,571
166,549
166,50
166,27
166,246
164,96
164,858
164,83
164,785
164,704
164,700
164,68
164,673
164,627
164,616
164,585
164,573
164,57
164,505
164,490
166,42
50,436
166,432
166,436
246,401
246,336
246,305
246,133
246,107
246,571
246,549
246,50
246,27
166,96
166,858
166,83
166,785
166,704
166,700
166,68
166,673
166,627
166,616
166,585
166,573
166,57
166,505
166,490
166,479
166,434
434,785
434,83
434,858
491,874
491,827
491,787
491,78
491,600
491,59
491,583
446,93
446,893
446,881
446,874
491,881
446,827
446,78
446,600
446,59
446,583
446,491
379,392
346,93
346,893
346,881
346,874
346,827
446,787
491,893
491,93
583,59
78,827
78,787
600,93
600,893
600,881
600,874
600,827
600,787
600,78
59,93
59,893
59,881
59,874
59,827
59,787
59,78
59,600
583,93
583,893
583,881
583,874
583,827
583,787
583,78
583,600
346,787
78,874
346,78
346,59
318,33
263,93
263,893
263,881
263,874
263,827
263,787
263,78
263,600
263,59
263,583
318,346
263,491
263,346
263,33
263,318
242,93
242,893
242,881
242,874
242,827
242,787
242,78
242,600
263,446
318,446
318,491
318,583
346,583
346,491
346,446
33,93
33,893
33,881
33,874
33,827
33,787
33,78
33,600
33,59
33,583
33,491
33,446
33,346
318,93
318,893
318,881
318,874
318,827
318,787
318,78
318,600
318,59
346,600
78,881
78,893
78,93
470,536
447,629
413,143
356,88
328,695
328,66
275,717
187,654
835,892
645,820
528,621
64,824
494,546
455,469
386,241
38,899
354,892
354,835
310,619
31,892
31,835
31,354
277,899
277,38
468,236
64,852
66,695
665,850
548,669
484,618
424,608
369,592
319,384
298,664
283,784
278,642
256,677
247,857
245,329
227,54
206,471
2,792
163,798
159,301
158,419
157,475
148,734
146,75
114,387
111,853
101,95
824,852
67,887
201,371
134,503
109,178
97,731
435,0
211,856
421,82
421,273
681,348
414,680
253,816
322,612
896,513
46,173
893,93
881,93
881,893
874,93
874,893
874,881
827,93
827,893
827,881
827,874
787,93
787,893
787,881
787,874
787,827
435,190
242,59
249,187
273,82
742,843
735,649
73,294
464,709
402,709
402,464
40,422
390,422
390,40
314,709
314,464
314,402
265,205
22,709
22,464
22,402
189,843
189,742
110,422
110,40
110,390
832,233
733,100
276,551
0,190
249,654
242,583
242,491
242,446
573,96
573,858
573,83
573,785
573,704
573,700
573,68
573,673
573,627
573,616
573,585
585,616
57,96
57,83
57,785
57,704
57,700
57,68
57,673
57,627
57,616
57,585
57,573
505,96
57,858
585,627
585,673
585,68
673,700
673,68
627,96
627,858
627,83
627,785
627,704
627,700
627,68
627,673
616,96
616,858
616,83
616,785
616,704
616,700
616,68
616,673
616,627
585,96
585,858
585,83
585,785
585,704
585,700
505,858
505,83
505,785
505,704
479,673
479,627
479,616
479,585
479,573
479,57
479,505
479,490
436,96
436,858
436,83
436,785
436,704
436,700
436,68
436,673
436,627
436,616
436,585
436,573
436,57
436,505
436,490
436,479
434,96
479,68
673,704
479,700
479,785
505,700
505,68
505,673
505,627
505,616
505,585
505,573
505,57
490,96
490,858
490,83
490,785
490,704
490,700
490,68
490,673
490,627
490,616
490,585
490,573
490,57
490,505
479,96
479,858
479,83
479,704
637,693
673,785
673,858
180,59
180,583
180,491
180,446
180,346
180,33
180,318
180,263
180,242
180,192
52,35
180,600
577,119
904,326
838,20
838,532
188,194
866,842
807,56
474,56
474,807
517,842
517,866
169,383
532,20
180,78
180,787
180,827
242,346
242,33
242,318
242,263
192,93
192,893
192,881
192,874
192,827
192,787
192,78
192,600
192,59
192,583
192,491
192,446
192,346
192,33
192,318
192,263
192,242
180,93
180,893
180,881
180,874
255,56
255,807
255,474
511,20
368,730
368,209
368,398
858,96
83,96
83,858
785,96
785,858
785,83
704,96
704,858
704,83
704,785
700,96
700,858
700,83
700,785
700,704
68,96
68,858
68,83
68,785
68,704
68,700
673,96
160,376
673,83
160,195
160,366
511,532
511,838
522,145
366,145
366,522
29,145
29,522
29,366
488,39
195,145
195,522
195,366
195,29
6,39
6,488
209,730
398,730
398,209
376,145
376,522
376,366
376,29
376,195
160,145
160,522
160,29
530,96
22,314
530,83
855,479
855,436
855,434
855,432
855,42
855,401
855,336
855,305
855,133
855,107
855,571
855,490
855,549
855,27
855,246
855,166
855,164
855,861
855,693
855,637
855,530
855,428
855,349
855,339
855,50
855,505
855,57
855,573
388,888
388,781
388,603
388,558
388,415
388,193
388,821
388,694
877,303
877,407
877,442
877,13
725,774
711,131
855,96
855,858
855,83
855,785
855,704
855,700
855,68
855,673
855,627
855,616
855,585
855,285
388,285
855,888
855,603
335,561
815,775
267,894
267,416
875,281
230,894
230,416
230,267
830,894
830,416
830,267
335,711
830,230
767,725
890,281
890,875
597,303
597,407
597,442
597,13
597,877
597,129
597,461
597,81
767,774
335,131
81,461
81,129
855,558
855,415
855,193
855,821
855,694
855,388
561,131
