=== Invocation 2026-04-25T03:57:23Z | seed=1 | keep_state=1 | pid=96681 | host=nah-popos ===
=== [Stage 1 (profile)] examples/output/synthetic_networks/networks/ec-sbm-v2/sbm-flat-best+cc/dnc/0/.state/profile/time_and_err.log ===
[Stage 1 (profile)] === 2026-04-25T03:57:23Z | pid=96681 | host=nah-popos | EXECUTED ===
[Stage 1 (profile)] 	Command being timed: "python /home/vltanh/Documents/network-generation/externals/ec-sbm/src/profile.py --edgelist examples/input/empirical_networks/networks/dnc/dnc.csv --clustering examples/input/reference_clusterings/clusterings/sbm-flat-best+cc/dnc/com.csv --output-folder examples/output/synthetic_networks/networks/ec-sbm-v2/sbm-flat-best+cc/dnc/0/.state/profile --params-file examples/output/synthetic_networks/networks/ec-sbm-v2/sbm-flat-best+cc/dnc/0/.state/profile/params.txt"
[Stage 1 (profile)] 	User time (seconds): 0.18
[Stage 1 (profile)] 	System time (seconds): 0.02
[Stage 1 (profile)] 	Percent of CPU this job got: 99%
[Stage 1 (profile)] 	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.20
[Stage 1 (profile)] 	Average shared text size (kbytes): 0
[Stage 1 (profile)] 	Average unshared data size (kbytes): 0
[Stage 1 (profile)] 	Average stack size (kbytes): 0
[Stage 1 (profile)] 	Average total size (kbytes): 0
[Stage 1 (profile)] 	Maximum resident set size (kbytes): 87776
[Stage 1 (profile)] 	Average resident set size (kbytes): 0
[Stage 1 (profile)] 	Major (requiring I/O) page faults: 0
[Stage 1 (profile)] 	Minor (reclaiming a frame) page faults: 14262
[Stage 1 (profile)] 	Voluntary context switches: 22
[Stage 1 (profile)] 	Involuntary context switches: 58
[Stage 1 (profile)] 	Swaps: 0
[Stage 1 (profile)] 	File system inputs: 0
[Stage 1 (profile)] 	File system outputs: 72
[Stage 1 (profile)] 	Socket messages sent: 0
[Stage 1 (profile)] 	Socket messages received: 0
[Stage 1 (profile)] 	Signals delivered: 0
[Stage 1 (profile)] 	Page size (bytes): 4096
[Stage 1 (profile)] 	Exit status: 0
[Stage 1 (profile)] === exit=0 ===

=== [Stage 1 (profile)] examples/output/synthetic_networks/networks/ec-sbm-v2/sbm-flat-best+cc/dnc/0/.state/profile/run.log ===
[Stage 1 (profile)] 2026-04-24 22:57:23,545 - INFO - Input reading elapsed: 0.0083 seconds
[Stage 1 (profile)] 2026-04-24 22:57:23,546 - INFO - Outlier transform elapsed: 0.0010 seconds
[Stage 1 (profile)] 2026-04-24 22:57:23,546 - INFO - Mappings computation elapsed: 0.0002 seconds
[Stage 1 (profile)] 2026-04-24 22:57:23,555 - INFO - Outputs export elapsed: 0.0094 seconds

=== [Stage 2 (gen_clustered)] examples/output/synthetic_networks/networks/ec-sbm-v2/sbm-flat-best+cc/dnc/0/.state/gen_clustered/time_and_err.log ===
[Stage 2 (gen_clustered)] === 2026-04-25T03:57:23Z | pid=96681 | host=nah-popos | EXECUTED ===
[Stage 2 (gen_clustered)] 	Command being timed: "python /home/vltanh/Documents/network-generation/externals/ec-sbm/src/gen_clustered.py --node-id examples/output/synthetic_networks/networks/ec-sbm-v2/sbm-flat-best+cc/dnc/0/.state/profile/node_id.csv --cluster-id examples/output/synthetic_networks/networks/ec-sbm-v2/sbm-flat-best+cc/dnc/0/.state/profile/cluster_id.csv --assignment examples/output/synthetic_networks/networks/ec-sbm-v2/sbm-flat-best+cc/dnc/0/.state/profile/assignment.csv --degree examples/output/synthetic_networks/networks/ec-sbm-v2/sbm-flat-best+cc/dnc/0/.state/profile/degree.csv --mincut examples/output/synthetic_networks/networks/ec-sbm-v2/sbm-flat-best+cc/dnc/0/.state/profile/mincut.csv --edge-counts examples/output/synthetic_networks/networks/ec-sbm-v2/sbm-flat-best+cc/dnc/0/.state/profile/edge_counts.csv --output-folder examples/output/synthetic_networks/networks/ec-sbm-v2/sbm-flat-best+cc/dnc/0/.state/gen_clustered --seed 1 --no-sbm-overlay"
[Stage 2 (gen_clustered)] 	User time (seconds): 0.26
[Stage 2 (gen_clustered)] 	System time (seconds): 0.03
[Stage 2 (gen_clustered)] 	Percent of CPU this job got: 99%
[Stage 2 (gen_clustered)] 	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.30
[Stage 2 (gen_clustered)] 	Average shared text size (kbytes): 0
[Stage 2 (gen_clustered)] 	Average unshared data size (kbytes): 0
[Stage 2 (gen_clustered)] 	Average stack size (kbytes): 0
[Stage 2 (gen_clustered)] 	Average total size (kbytes): 0
[Stage 2 (gen_clustered)] 	Maximum resident set size (kbytes): 93468
[Stage 2 (gen_clustered)] 	Average resident set size (kbytes): 0
[Stage 2 (gen_clustered)] 	Major (requiring I/O) page faults: 0
[Stage 2 (gen_clustered)] 	Minor (reclaiming a frame) page faults: 15812
[Stage 2 (gen_clustered)] 	Voluntary context switches: 22
[Stage 2 (gen_clustered)] 	Involuntary context switches: 49
[Stage 2 (gen_clustered)] 	Swaps: 0
[Stage 2 (gen_clustered)] 	File system inputs: 0
[Stage 2 (gen_clustered)] 	File system outputs: 56
[Stage 2 (gen_clustered)] 	Socket messages sent: 0
[Stage 2 (gen_clustered)] 	Socket messages received: 0
[Stage 2 (gen_clustered)] 	Signals delivered: 0
[Stage 2 (gen_clustered)] 	Page size (bytes): 4096
[Stage 2 (gen_clustered)] 	Exit status: 0
[Stage 2 (gen_clustered)] === exit=0 ===

=== [Stage 2 (gen_clustered)] examples/output/synthetic_networks/networks/ec-sbm-v2/sbm-flat-best+cc/dnc/0/.state/gen_clustered/run.log ===
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,763 - INFO - Starting EC-SBM clustered generation (sbm_overlay=False)...
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,816 - INFO - Input loading elapsed: 0.0527 seconds
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,816 - INFO - Generating cluster 19 (N=6 | k=5)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,816 - INFO - Generating cluster 28 (N=4 | k=3)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,816 - INFO - Generating cluster 16 (N=8 | k=7)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,817 - INFO - Generating cluster 8 (N=14 | k=13)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,819 - INFO - Generating cluster 7 (N=15 | k=14)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,821 - INFO - Generating cluster 23 (N=4 | k=3)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,821 - INFO - Generating cluster 10 (N=12 | k=4)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,822 - INFO - Generating cluster 20 (N=6 | k=3)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,822 - INFO - Generating cluster 14 (N=9 | k=6)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,823 - INFO - Generating cluster 1 (N=50 | k=49)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,851 - INFO - Generating cluster 5 (N=29 | k=3)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,853 - INFO - Generating cluster 11 (N=10 | k=6)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,854 - INFO - Generating cluster 9 (N=14 | k=2)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,855 - INFO - Generating cluster 25 (N=4 | k=3)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,855 - INFO - Generating cluster 12 (N=10 | k=3)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,855 - INFO - Generating cluster 18 (N=6 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,856 - INFO - Generating cluster 21 (N=5 | k=2)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,856 - INFO - Generating cluster 2 (N=36 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,857 - INFO - Generating cluster 4 (N=33 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,858 - INFO - Generating cluster 0 (N=52 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,859 - INFO - Generating cluster 13 (N=9 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,859 - INFO - Generating cluster 6 (N=19 | k=18)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,863 - INFO - Generating cluster 3 (N=33 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,864 - INFO - Generating cluster 30 (N=3 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,864 - INFO - Generating cluster 37 (N=3 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,865 - INFO - Generating cluster 45 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,865 - INFO - Generating cluster 24 (N=4 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,865 - INFO - Generating cluster 44 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,865 - INFO - Generating cluster 43 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,865 - INFO - Generating cluster 34 (N=3 | k=2)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,865 - INFO - Generating cluster 58 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,865 - INFO - Generating cluster 15 (N=8 | k=2)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,865 - INFO - Generating cluster 39 (N=3 | k=2)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,865 - INFO - Generating cluster 59 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,865 - INFO - Generating cluster 36 (N=3 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,865 - INFO - Generating cluster 38 (N=3 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,866 - INFO - Generating cluster 27 (N=4 | k=3)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,866 - INFO - Generating cluster 17 (N=7 | k=2)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,866 - INFO - Generating cluster 22 (N=5 | k=4)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,866 - INFO - Generating cluster 60 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,866 - INFO - Generating cluster 48 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,866 - INFO - Generating cluster 79 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,866 - INFO - Generating cluster 35 (N=3 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,867 - INFO - Generating cluster 52 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,867 - INFO - Generating cluster 54 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,867 - INFO - Generating cluster 71 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,867 - INFO - Generating cluster 40 (N=3 | k=2)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,867 - INFO - Generating cluster 26 (N=4 | k=3)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,867 - INFO - Generating cluster 68 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,867 - INFO - Generating cluster 33 (N=3 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,867 - INFO - Generating cluster 29 (N=4 | k=1)
[Stage 2 (gen_clustered)] 2026-04-24 22:57:23,867 - INFO - Generating cluster 41 (N=3 | k=1)
