node_id,cluster_id
0,0
10,14
100,17
101,31
103,8
106,11
107,13
109,33
110,19
111,64
114,34
115,14
117,5
118,19
119,19
121,19
122,19
125,12
126,16
128,14
129,10
13,10
130,11
131,3
132,19
133,13
134,35
135,17
139,19
14,11
141,17
142,36
143,50
145,12
146,28
148,37
151,5
153,14
155,17
157,38
158,39
159,46
160,12
161,3
163,63
164,13
166,13
167,17
168,20
169,17
171,19
173,17
174,20
178,33
179,17
18,16
180,22
183,10
185,2
186,19
187,17
188,20
189,36
190,0
192,22
193,13
194,20
195,12
196,15
197,1
2,62
20,15
201,49
202,7
204,3
205,40
206,41
207,17
208,19
209,2
21,17
210,17
211,17
214,16
216,19
217,2
22,18
221,4
222,17
223,17
224,3
225,7
226,19
227,42
228,16
23,19
230,9
231,19
233,16
234,20
235,17
236,54
238,19
239,20
24,12
240,4
241,29
242,22
243,20
245,48
246,13
247,43
249,17
252,17
253,14
255,24
256,60
257,19
26,20
260,9
261,10
263,22
265,40
266,19
267,9
268,16
27,13
270,17
273,17
274,4
275,44
276,17
277,16
278,58
281,15
283,61
284,17
285,13
29,12
292,17
294,27
295,13
296,2
297,16
298,45
299,19
301,46
303,10
305,13
307,14
309,13
31,21
310,17
314,18
315,2
316,16
317,8
318,22
319,47
322,12
324,17
325,10
326,16
328,26
329,48
33,22
332,16
333,24
335,3
336,13
339,13
342,19
343,19
345,17
346,22
347,20
348,17
349,13
35,14
350,14
354,21
356,30
359,19
363,36
364,20
366,12
367,17
368,2
369,56
371,49
373,19
375,17
376,12
377,19
378,16
379,14
38,16
380,19
381,4
382,14
383,17
384,47
385,17
386,29
387,34
388,13
39,5
390,19
391,11
392,17
393,16
396,3
397,16
398,2
40,19
400,3
401,13
402,18
404,19
405,22
407,10
408,20
409,19
41,0
410,16
412,19
413,50
414,23
415,13
416,9
417,16
419,39
42,13
420,2
421,17
422,19
424,51
427,19
428,13
429,14
43,14
430,17
432,13
433,20
434,13
435,0
436,13
437,2
44,19
441,2
442,10
443,3
444,36
446,22
447,52
448,19
45,19
450,19
451,19
452,6
455,53
457,5
458,17
46,17
460,19
461,10
464,18
466,20
468,54
469,53
470,16
471,41
472,20
474,24
475,38
476,19
477,17
479,13
48,2
481,20
482,19
484,57
485,9
487,8
488,5
49,20
490,13
491,22
492,53
494,55
496,5
497,20
499,19
5,2
50,13
500,19
501,7
502,19
503,35
505,13
506,17
508,17
509,2
51,17
510,20
511,15
512,19
513,14
515,20
516,19
517,19
52,14
522,12
524,16
525,19
527,5
528,16
530,13
531,19
532,13
535,17
536,16
537,9
54,42
541,2
544,17
545,19
546,55
548,59
549,13
55,8
550,10
551,17
553,17
555,6
558,13
559,20
56,24
560,14
561,3
562,4
564,17
568,3
569,19
57,13
571,13
573,13
575,17
577,19
58,5
581,7
583,22
585,13
589,19
59,22
592,56
595,19
596,16
597,10
599,19
6,5
60,2
600,22
602,19
603,13
604,2
605,17
607,19
608,51
61,5
610,19
613,2
614,20
616,13
617,24
618,57
619,17
62,10
621,16
622,19
623,14
624,24
625,10
627,13
628,12
629,52
63,16
633,4
634,19
635,20
637,13
639,13
64,25
640,11
642,58
644,19
645,16
646,5
649,17
650,54
651,16
654,17
655,19
656,11
657,16
658,17
659,14
66,26
661,20
663,9
664,45
665,19
666,11
667,3
669,59
67,16
670,16
671,20
673,13
674,17
676,16
677,60
678,17
68,13
680,23
681,17
682,16
684,16
685,16
687,17
69,19
692,7
693,13
694,13
695,26
696,1
697,11
699,19
7,11
700,13
701,20
702,16
704,13
708,3
709,18
71,19
711,3
714,17
715,17
717,44
72,16
720,24
721,16
722,10
725,8
726,20
728,10
729,14
73,27
730,2
731,32
733,17
734,37
735,17
737,17
738,20
739,16
74,17
740,19
742,36
743,0
744,19
745,17
746,0
75,28
751,5
755,17
757,2
76,8
761,17
762,17
763,12
764,17
765,16
766,20
767,8
768,17
77,17
771,53
774,5
775,1
776,19
777,12
778,19
78,22
780,19
781,13
783,16
784,61
785,13
786,7
787,22
789,17
79,3
790,20
792,62
796,16
797,19
798,63
799,9
8,17
80,29
807,24
808,19
81,10
810,8
811,19
814,19
815,1
816,14
817,4
82,17
820,16
821,13
823,2
824,25
825,13
827,22
829,3
83,13
830,9
831,19
832,16
833,36
834,32
835,21
836,11
838,14
839,20
840,14
842,19
843,36
844,17
845,17
846,16
848,20
850,19
851,3
852,25
853,64
855,15
856,17
857,43
858,13
859,0
86,5
861,13
863,0
864,24
866,22
868,16
869,14
870,2
871,6
872,20
874,22
875,15
876,20
877,1
879,19
88,30
881,22
882,1
885,13
886,20
887,16
888,13
889,17
89,14
890,15
891,5
892,21
893,22
894,9
896,14
897,24
899,16
90,17
902,19
903,20
904,16
93,22
94,20
95,31
96,13
97,32
99,1
