node_id,cluster_id
1,6
2,1
3,3
4,7
5,2
6,8
7,8
8,5
9,4
10,1
11,5
12,8
13,6
14,8
15,1
16,3
17,5
18,4
19,6
20,8
21,2
22,8
23,1
24,1
25,4
26,4
27,5
28,6
29,1
30,8
31,8
32,2
33,2
34,3
35,5
36,8
37,6
38,7
39,2
40,3
41,1
42,2
43,6
44,4
45,4
46,3
47,6
48,1
49,6
50,5
51,4
52,3
53,3
54,4
55,3
56,3
57,5
58,6
59,3
60,6
61,5
62,6
63,1
64,3
65,4
66,8
67,1
68,3
69,5
70,5
71,6
72,7
73,4
74,5
75,8
76,5
77,6
78,6
79,8
80,7
81,5
82,2
83,7
84,5
85,2
86,4
87,5
88,6
89,1
90,6
91,3
92,7
93,3
94,6
95,5
96,6
97,4
98,3
99,5
100,2
101,4
102,3
103,1
104,3
105,2
106,8
107,4
108,3
109,2
110,3
111,4
112,4
113,1
114,3
115,5
116,8
117,7
118,6
119,2
120,6
121,1
122,7
123,4
124,8
125,3
126,4
127,6
128,2
129,4
130,5
131,7
132,7
133,7
134,6
135,5
136,1
137,4
138,4
139,4
140,1
141,5
142,8
143,2
144,1
145,6
146,3
147,5
148,4
149,5
150,4
151,8
152,5
153,3
154,4
155,5
156,8
157,7
158,5
159,1
160,3
161,7
162,7
163,2
164,3
165,3
166,3
167,5
168,2
169,2
170,4
171,2
172,6
173,1
174,1
175,1
176,8
177,2
178,1
179,4
180,5
181,3
182,2
183,3
184,2
185,7
186,6
187,6
188,7
189,4
190,5
191,7
192,7
193,5
194,5
195,4
196,6
197,2
198,2
199,4
200,5
201,4
202,1
203,6
204,3
205,3
206,5
207,8
208,8
209,4
210,6
211,6
212,5
213,5
214,2
215,7
216,3
217,4
218,3
219,3
220,3
221,2
222,3
223,3
224,6
225,1
226,3
227,5
228,3
229,3
230,3
231,4
232,6
233,3
234,5
235,1
236,4
237,6
238,8
239,5
240,5
241,4
242,7
243,2
244,5
245,4
246,6
247,8
248,2
249,6
250,1
251,4
252,3
253,6
254,4
255,4
256,4
257,4
258,3
259,5
260,8
261,4
262,3
263,1
264,4
265,6
266,1
267,8
268,5
269,3
270,6
271,1
272,2
273,8
274,2
275,2
276,4
277,1
278,8
279,6
280,1
281,2
282,4
283,5
284,4
285,5
286,1
287,5
288,3
289,2
290,8
291,1
292,8
293,1
294,5
295,1
296,7
297,4
298,1
299,1
300,6
301,3
302,1
303,3
304,8
305,1
306,8
307,6
308,8
309,4
310,2
311,2
312,7
313,1
314,1
315,5
316,2
317,8
318,8
319,5
320,4
321,8
322,5
323,6
324,4
325,4
326,7
327,4
328,3
329,4
330,2
331,4
332,1
333,8
334,8
335,2
336,7
337,2
338,6
339,7
340,7
341,3
342,2
343,1
344,2
345,7
346,4
347,4
348,4
349,7
350,3
351,5
352,6
353,4
354,2
355,8
356,1
357,1
358,2
359,1
360,6
361,5
362,3
363,4
364,1
365,6
366,7
367,5
368,4
369,3
370,8
371,3
372,4
373,7
374,3
375,8
376,5
377,2
378,3
379,7
380,7
381,6
382,5
383,7
384,3
385,3
386,5
387,6
388,1
389,4
390,5
391,5
392,2
393,4
394,3
395,1
396,1
397,5
398,4
399,5
400,4
401,1
402,7
403,5
404,8
405,4
406,7
407,6
408,4
409,7
410,4
411,6
412,2
413,2
414,5
415,7
416,7
417,4
418,4
419,4
420,1
421,5
422,3
423,4
424,1
425,5
426,1
427,2
428,8
429,2
430,2
431,5
432,7
433,1
434,1
435,2
436,5
437,6
438,5
439,4
440,5
441,8
442,8
443,6
444,5
445,2
446,4
447,1
448,4
449,1
450,8
451,5
452,5
453,2
454,1
455,4
456,4
457,2
458,8
459,7
460,8
461,4
462,6
463,5
464,1
465,4
466,2
467,1
468,2
469,8
470,1
471,7
472,8
473,5
474,5
475,6
476,4
477,8
478,8
479,4
480,6
481,7
482,4
483,5
484,1
485,7
486,4
487,5
488,1
489,4
490,4
491,2
492,7
493,3
494,5
495,3
496,7
497,4
498,7
499,2
500,2
501,8
502,3
503,3
504,8
505,3
506,7
507,6
508,8
509,8
510,2
511,8
512,1
513,7
514,2
515,4
516,5
517,1
518,2
519,3
520,4
521,8
522,3
523,3
524,6
525,8
526,4
527,8
528,7
529,7
530,4
531,3
532,5
533,4
534,8
535,7
536,8
537,7
538,8
539,4
540,4
541,6
542,1
543,3
544,5
545,8
546,1
547,6
548,7
549,2
550,8
551,6
552,4
553,8
554,7
555,4
556,5
557,6
558,6
559,2
560,2
561,7
562,7
563,7
564,8
565,1
566,3
567,2
568,4
569,5
570,7
571,5
572,6
573,7
574,8
575,8
576,7
577,2
578,5
579,1
580,6
581,3
582,4
583,8
584,8
585,4
586,4
587,4
588,1
589,5
590,4
591,4
592,5
593,2
594,1
595,2
596,1
597,8
598,5
599,6
600,8
601,1
602,5
603,5
604,5
605,7
606,6
607,3
608,6
609,4
610,3
611,5
612,8
613,5
614,1
615,5
616,3
617,4
618,8
619,8
620,3
621,3
622,4
623,8
624,8
625,6
626,4
627,4
628,5
629,7
630,8
631,3
632,1
633,3
634,3
635,8
636,1
637,1
638,3
639,1
640,6
641,2
642,6
643,4
644,4
645,3
646,2
647,1
648,5
649,4
650,1
651,1
652,6
653,1
654,5
655,8
656,7
657,4
658,2
659,6
660,1
661,1
662,7
663,8
664,6
665,1
666,1
667,8
668,3
669,3
670,1
671,7
672,7
673,5
674,4
675,6
676,5
677,7
678,2
679,6
680,3
681,6
682,8
683,5
684,3
685,3
686,2
687,2
688,6
689,2
690,8
691,6
692,5
693,6
694,4
695,7
696,8
697,5
698,5
699,3
700,8
701,2
702,8
703,8
704,6
705,5
706,8
707,3
708,3
709,5
710,7
711,2
712,5
713,4
714,4
715,5
716,1
717,5
718,5
719,3
720,4
721,1
722,7
723,1
724,7
725,5
726,1
727,2
728,4
729,5
730,5
731,8
732,7
733,6
734,6
735,1
736,2
737,5
738,1
739,4
740,3
741,3
742,5
743,4
744,4
745,5
746,6
747,7
748,1
749,5
750,8
751,1
752,3
753,4
754,5
755,6
756,5
757,1
758,2
759,4
760,3
761,8
762,6
763,8
764,6
765,4
766,3
767,7
768,6
769,2
770,5
771,1
772,5
773,1
774,2
775,5
776,1
777,6
778,3
779,3
780,1
781,1
782,7
783,6
784,7
785,6
786,3
787,2
788,3
789,8
790,4
791,3
792,4
793,8
794,8
795,3
796,8
797,7
798,2
799,4
800,5
801,1
802,5
803,3
804,1
805,5
806,5
807,2
808,3
809,4
810,8
811,8
812,7
813,1
814,4
815,4
816,4
817,4
818,6
819,3
820,7
821,1
822,4
823,4
824,1
825,1
826,7
827,4
828,6
829,4
830,2
831,1
832,2
833,5
834,8
835,8
836,8
837,6
838,3
839,1
840,5
841,4
842,6
843,1
844,6
845,6
846,8
847,6
848,1
849,4
850,7
851,5
852,4
853,3
854,4
855,4
856,7
857,2
858,5
859,2
860,4
861,8
862,1
863,3
864,3
865,5
866,1
867,4
868,3
869,6
870,5
871,1
872,7
873,8
874,8
875,8
876,4
877,5
878,5
879,5
880,1
881,8
882,2
883,7
884,1
885,6
886,5
887,7
888,4
889,1
890,2
891,4
892,3
893,1
894,1
895,1
896,5
897,1
898,4
899,1
900,4
901,5
902,5
903,4
904,5
905,4
906,4
