node_id,cluster_id
1,10
2,2
3,2
4,2
5,10
6,6
7,3
8,6
9,5
10,3
11,2
12,6
13,9
14,10
15,1
16,2
17,9
18,8
19,7
20,3
21,1
22,3
23,5
24,4
25,3
26,1
27,1
28,3
29,1
30,8
31,8
32,3
33,3
34,8
35,6
36,1
37,1
38,5
39,8
40,8
41,1
42,8
43,8
44,2
45,5
46,4
47,10
48,3
49,10
50,8
51,3
52,8
53,10
54,2
55,7
56,2
57,9
58,5
59,1
60,9
61,9
62,10
63,2
64,9
65,5
66,2
67,4
68,10
69,10
70,2
71,4
72,8
73,6
74,3
75,10
76,2
77,10
78,3
79,3
80,1
81,6
82,9
83,1
84,1
85,1
86,8
87,8
88,6
89,9
90,4
91,8
92,2
93,4
94,6
95,7
96,6
97,10
98,5
99,8
100,7
101,8
102,9
103,10
104,6
105,2
106,3
107,10
108,10
109,2
110,5
111,3
112,2
113,9
114,7
115,5
116,7
117,3
118,7
119,4
120,2
121,6
122,4
123,1
124,8
125,8
126,9
127,8
128,5
129,3
130,1
131,8
132,8
133,9
134,1
135,8
136,9
137,2
138,9
139,1
140,7
141,3
142,6
143,10
144,9
145,5
146,1
147,1
148,8
149,8
150,1
151,3
152,8
153,3
154,5
155,2
156,10
157,3
158,9
159,8
160,8
161,2
162,10
163,9
164,2
165,2
166,6
167,10
168,1
169,1
170,3
171,2
172,4
173,3
174,7
175,8
176,5
177,8
178,3
179,6
180,10
181,5
182,9
183,2
184,1
185,3
186,3
187,2
188,9
189,8
190,3
191,10
192,7
193,9
194,1
195,5
196,2
197,6
198,3
199,4
200,8
201,9
202,7
203,5
204,8
205,9
206,4
207,9
208,9
209,9
210,4
211,2
212,1
213,5
214,3
215,2
216,8
217,3
218,7
219,6
220,10
221,9
222,5
223,6
224,8
225,10
226,3
227,10
228,1
229,2
230,1
231,4
232,7
233,10
234,1
235,10
236,3
237,9
238,9
239,4
240,1
241,2
242,5
243,5
244,5
245,10
246,9
247,9
248,7
249,2
250,7
251,4
252,10
253,5
254,8
255,1
256,8
257,1
258,8
259,10
260,6
261,8
262,4
263,10
264,1
265,8
266,4
267,9
268,7
269,1
270,7
271,8
272,7
273,9
274,9
275,8
276,9
277,5
278,7
279,2
280,1
281,10
282,3
283,2
284,2
285,1
286,2
287,7
288,4
289,4
290,8
291,3
292,9
293,9
294,7
295,3
296,9
297,10
298,3
299,6
300,1
301,5
302,2
303,3
304,7
305,3
306,7
307,9
308,5
309,3
310,1
311,8
312,3
313,10
314,10
315,6
316,1
317,7
318,6
319,8
320,7
321,3
322,2
323,3
324,7
325,9
326,2
327,3
328,3
329,10
330,6
331,9
332,1
333,5
334,9
335,2
336,9
337,7
338,2
339,2
340,2
341,6
342,5
343,1
344,4
345,10
346,2
347,10
348,5
349,2
350,2
351,5
352,3
353,7
354,7
355,7
356,5
357,3
358,8
359,9
360,3
361,6
362,2
363,10
364,2
365,5
366,7
367,8
368,7
369,9
370,6
371,6
372,3
373,1
374,8
375,3
376,6
377,10
378,2
379,3
380,10
381,3
382,10
383,2
384,1
385,9
386,9
387,7
388,8
389,10
390,5
391,9
392,5
393,8
394,8
395,10
396,5
397,8
398,10
399,8
400,4
401,8
402,7
403,4
404,1
405,4
406,10
407,3
408,3
409,4
410,5
411,8
412,4
413,9
414,9
415,5
416,4
417,5
418,8
419,2
420,3
421,4
422,8
423,4
424,7
425,9
426,1
427,6
428,6
429,9
430,3
431,2
432,9
433,6
434,3
435,3
436,2
437,10
438,8
439,2
440,8
441,10
442,9
443,8
444,9
445,8
446,8
447,1
448,9
449,9
450,10
451,7
452,4
453,6
454,4
455,9
456,5
457,1
458,7
459,6
460,7
461,9
462,3
463,1
464,10
465,1
466,5
467,4
468,10
469,2
470,6
471,10
472,4
473,9
474,10
475,7
476,4
477,5
478,3
479,8
480,6
481,2
482,10
483,6
484,7
485,8
486,4
487,6
488,7
489,4
490,2
491,9
492,10
493,8
494,5
495,9
496,6
497,8
498,4
499,3
500,4
501,9
502,6
503,3
504,3
505,5
506,9
507,9
508,6
509,6
510,4
511,5
512,8
513,9
514,5
515,8
516,7
517,2
518,8
519,4
520,6
521,3
522,2
523,8
524,10
525,3
526,2
527,3
528,3
529,5
530,5
531,4
532,5
533,10
534,7
535,5
536,4
537,7
538,7
539,4
540,4
541,1
542,8
543,2
544,7
545,7
546,1
547,3
548,2
549,10
550,7
551,9
552,4
553,9
554,5
555,8
556,10
557,6
558,3
559,1
560,4
561,10
562,10
563,10
564,1
565,5
566,2
567,10
568,8
569,9
570,10
571,9
572,10
573,10
574,2
575,3
576,1
577,10
578,2
579,6
580,6
581,2
582,8
583,2
584,9
585,4
586,2
587,3
588,6
589,3
590,9
591,5
592,4
593,8
594,10
595,10
596,4
597,8
598,5
599,9
600,6
601,10
602,7
603,6
604,10
605,8
606,2
607,6
608,5
609,5
610,8
611,4
612,9
613,5
614,6
615,5
616,5
617,8
618,9
619,3
620,5
621,8
622,6
623,1
624,9
625,1
626,6
627,8
628,2
629,5
630,6
631,9
632,4
633,2
634,2
635,3
636,2
637,3
638,6
639,9
640,8
641,3
642,10
643,5
644,3
645,9
646,4
647,9
648,9
649,1
650,7
651,1
652,9
653,3
654,8
655,7
656,6
657,8
658,8
659,10
660,9
661,3
662,2
663,3
664,5
665,6
666,1
667,10
668,6
669,7
670,2
671,3
672,1
673,7
674,5
675,5
676,6
677,10
678,8
679,9
680,5
681,4
682,8
683,2
684,2
685,2
686,8
687,2
688,5
689,4
690,3
691,3
692,5
693,5
694,2
695,8
696,1
697,9
698,1
699,8
700,7
701,10
702,4
703,1
704,4
705,10
706,9
707,9
708,6
709,1
710,3
711,2
712,8
713,8
714,6
715,3
716,7
717,2
718,6
719,3
720,3
721,3
722,6
723,6
724,1
725,8
726,8
727,4
728,3
729,4
730,7
731,8
732,4
733,5
734,3
735,6
736,4
737,6
738,10
739,4
740,2
741,3
742,9
743,10
744,2
745,1
746,6
747,2
748,5
749,6
750,3
751,2
752,1
753,7
754,10
755,8
756,5
757,1
758,3
759,4
760,4
761,2
762,7
763,8
764,10
765,3
766,2
767,1
768,8
769,2
770,5
771,9
772,1
773,2
774,3
775,9
776,1
777,5
778,9
779,10
780,2
781,1
782,8
783,9
784,5
785,1
786,8
787,7
788,8
789,6
790,4
791,3
792,6
793,9
794,1
795,7
796,5
797,10
798,1
799,10
800,6
801,10
802,1
803,7
804,8
805,6
806,1
807,1
808,2
809,1
810,8
811,6
812,7
813,8
814,5
815,5
816,4
817,1
818,8
819,6
820,1
821,1
822,1
823,9
824,4
825,10
826,10
827,10
828,3
829,2
830,4
831,5
832,2
833,3
834,5
835,8
836,7
837,10
838,3
839,6
840,8
841,10
842,8
843,2
844,8
845,8
846,6
847,7
848,10
849,4
850,8
851,6
852,3
853,10
854,8
855,4
856,6
857,10
858,4
859,7
860,3
861,10
862,5
863,6
864,3
865,7
866,1
867,2
868,2
869,3
870,6
871,3
872,9
873,10
874,3
875,4
876,3
877,4
878,9
879,7
880,4
881,6
882,8
883,3
884,8
885,5
886,2
887,10
888,4
889,10
890,9
891,2
892,8
893,9
894,2
895,2
896,2
897,3
898,2
899,2
900,3
901,3
902,8
903,3
904,3
905,3
906,8
