node_id,cluster_id
1,46
2,17
3,7
4,6
6,119
7,120
8,5
9,21
10,307
11,199
13,298
14,269
15,2
16,363
17,1
18,10
19,332
20,7
21,18
22,7
23,180
24,33
25,84
26,173
27,19
28,32
29,59
30,3
31,356
32,3
33,365
34,3
36,4
37,4
38,141
40,1
41,42
42,97
43,1
44,14
45,1
46,2
47,3
48,69
50,337
51,131
53,4
54,5
55,2
56,1
57,211
59,2
60,13
61,1
62,3
63,8
65,185
66,12
67,3
68,28
69,14
70,1
71,1
72,24
73,100
74,306
76,77
77,9
78,1
79,1
80,11
82,2
83,9
85,39
86,4
87,15
88,164
89,9
90,17
91,4
92,18
94,323
95,4
96,109
97,8
98,346
99,168
100,100
101,1
102,13
103,4
104,2
105,3
106,287
107,10
108,4
109,142
110,3
111,10
112,4
113,4
114,11
116,1
119,28
120,12
121,28
122,6
123,58
124,24
125,332
126,8
127,1
129,3
130,11
131,135
132,1
133,2
134,119
135,6
136,10
137,141
138,7
139,1
140,12
141,58
142,5
143,33
144,2
145,2
146,296
147,3
148,5
149,36
151,70
152,1
153,5
154,34
155,13
156,5
157,61
158,7
159,5
160,81
161,218
162,1
163,11
164,1
166,14
167,31
168,10
169,2
170,33
171,4
172,9
173,2
174,1
175,275
176,191
179,3
180,8
181,7
182,1
183,318
185,1
186,20
187,11
188,2
189,12
190,2
192,20
193,276
194,1
195,7
196,318
198,17
200,3
201,296
202,1
205,1
206,2
207,11
208,13
210,3
211,8
212,8
213,109
214,20
215,29
216,255
217,46
218,4
220,20
221,23
222,350
223,126
224,69
225,227
226,12
228,2
229,9
231,2
232,36
233,295
234,107
235,293
236,13
237,231
238,2
239,17
240,70
241,3
242,10
243,173
246,21
247,8
249,49
250,255
251,363
252,3
254,37
255,49
256,20
257,4
258,17
259,347
260,2
261,2
262,7
263,89
265,2
266,6
267,21
268,2
269,47
270,198
271,8
272,1
274,133
275,1
276,135
277,2
278,330
279,45
280,1
281,3
282,17
283,4
284,3
285,1
286,1
288,8
289,2
290,108
291,238
292,47
293,69
294,4
295,27
296,20
297,11
298,5
299,168
300,5
301,1
302,32
303,7
304,28
306,5
307,255
308,98
309,142
310,4
313,348
314,3
315,37
316,4
317,120
318,4
319,273
322,2
323,4
325,9
326,4
327,2
328,30
329,3
331,4
332,1
333,1
334,21
335,5
337,2
338,246
339,5
340,1
341,167
342,19
343,39
344,40
345,57
346,2
347,55
348,3
349,17
350,1
352,85
353,13
354,1
355,6
356,22
357,17
359,89
360,12
363,11
364,3
365,297
366,116
367,64
368,8
369,164
370,2
371,9
372,1
374,56
375,1
376,47
377,59
378,1
380,200
381,3
382,363
385,1
386,2
387,1
388,13
389,22
391,5
392,3
394,84
395,270
396,22
397,4
398,25
399,273
400,5
401,27
403,30
404,4
405,214
406,2
407,17
409,7
410,314
411,7
412,167
414,182
415,10
416,1
418,10
419,13
420,16
422,126
423,347
424,26
425,14
426,2
428,11
429,6
430,37
431,78
432,5
433,2
434,191
435,3
436,26
437,16
438,31
439,25
441,4
442,5
443,7
445,2
446,2
447,176
448,10
449,3
451,58
452,238
453,3
454,231
455,4
456,2
457,59
458,87
459,4
460,311
462,4
463,2
464,9
465,2
466,1
467,15
468,2
469,246
470,13
471,4
472,4
473,6
474,2
475,2
477,4
478,4
479,182
480,21
481,300
482,1
483,6
484,244
485,1
486,81
487,1
488,5
489,12
490,3
491,255
493,26
494,10
495,75
496,307
497,197
498,1
499,42
500,89
501,4
502,15
503,17
504,297
505,1
506,85
507,6
510,8
511,5
512,197
515,300
516,19
517,31
519,1
520,12
521,1
522,2
523,6
524,3
525,314
526,16
527,2
528,2
529,1
531,15
532,2
533,78
534,16
536,2
537,21
538,2
539,263
540,1
541,223
542,87
544,22
546,6
547,1
548,6
549,3
550,306
551,269
552,1
553,98
554,198
555,243
556,43
557,1
558,9
559,4
560,167
561,2
562,1
563,270
565,3
567,1
568,31
569,183
570,20
571,3
572,77
573,24
574,1
575,15
576,4
577,22
579,1
580,11
581,17
582,1
584,9
585,9
586,3
587,1
588,224
589,2
590,2
591,11
592,2
593,224
594,8
595,185
596,223
597,3
598,3
599,2
600,1
601,2
602,199
603,97
604,2
605,6
606,11
607,4
610,236
612,8
613,91
614,135
616,5
617,183
618,2
619,14
620,5
623,5
624,142
625,275
626,3
627,1
628,17
629,3
630,8
631,275
632,9
633,7
634,17
635,10
636,1
637,24
638,2
639,15
640,293
641,17
642,214
643,70
645,2
646,1
647,4
648,356
649,200
650,3
651,14
652,6
653,2
654,64
655,1
656,8
657,2
658,218
660,2
661,18
662,17
663,1
664,181
665,8
666,126
667,1
669,1
670,6
671,34
672,25
673,1
674,2
675,5
676,39
677,4
678,17
679,1
681,4
682,3
683,19
684,5
685,20
686,333
688,5
689,40
690,351
691,3
692,13
693,7
694,224
695,4
696,5
697,2
698,75
699,22
700,205
701,2
702,225
703,13
704,183
705,10
706,296
707,10
709,5
710,2
711,17
712,263
713,2
714,6
715,9
717,47
718,7
719,289
720,58
721,244
722,365
723,293
724,1
725,42
726,29
727,116
728,61
729,8
730,1
731,330
732,5
733,311
734,11
735,19
736,43
737,5
738,83
741,5
742,231
743,57
744,5
745,5
746,12
747,3
748,23
749,2
750,107
751,236
752,7
753,5
754,232
755,351
756,295
757,15
759,4
761,1
762,1
763,4
764,15
766,1
767,10
768,3
769,17
770,19
773,6
776,2
777,323
780,7
781,56
782,218
783,180
784,276
785,5
786,61
787,232
789,5
790,176
791,3
792,8
793,2
794,14
795,20
796,365
797,22
798,2
799,5
800,10
801,14
802,2
803,323
804,17
805,1
807,133
809,69
810,2
811,3
812,7
813,37
814,333
815,348
816,6
817,297
818,9
819,4
820,270
821,1
822,176
823,8
824,4
825,314
826,131
827,4
828,232
829,10
830,1
831,3
833,287
834,1
835,8
836,108
837,3
838,15
840,24
841,227
842,5
843,5
844,8
845,223
846,1
847,43
849,13
850,9
851,346
852,57
854,14
856,205
857,17
858,2
859,2
861,45
862,3
863,91
864,83
865,4
866,225
867,17
868,2
869,1
870,289
872,11
873,2
874,371
876,3
877,2
878,22
879,2
880,4
881,2
883,4
884,243
885,5
887,2
888,351
889,61
890,6
891,298
892,371
893,8
894,350
895,29
896,3
897,181
898,337
899,4
900,3
901,5
902,269
903,55
905,211
