node_id,cluster_id
1,20
3,1
4,9
5,3
6,2
7,4
8,12
9,17
10,56
11,20
13,5
14,332
15,1
16,144
17,20
18,65
19,3
20,5
21,262
23,10
24,164
25,331
27,2
28,1
29,4
30,332
31,2
32,21
34,54
36,10
38,293
39,1
40,216
41,432
42,214
43,8
45,2
46,26
47,360
48,8
49,8
50,3
51,1
52,152
53,5
54,7
55,38
56,1
57,72
58,3
60,170
61,2
62,20
64,20
65,1
67,138
68,45
70,78
71,355
72,3
73,3
74,268
75,17
76,4
77,377
78,12
79,217
81,337
82,102
83,217
84,12
85,7
86,348
87,22
88,411
89,138
90,100
91,3
92,397
93,26
94,74
95,19
96,6
97,355
98,72
99,1
101,11
102,51
104,13
105,360
107,1
109,162
110,440
111,4
112,3
113,381
114,168
115,2
116,221
117,220
118,373
119,181
120,3
121,1
122,1
123,1
124,6
125,316
126,56
127,62
129,3
130,8
131,77
132,415
133,66
134,1
135,262
136,6
137,268
138,16
140,213
141,64
142,3
143,2
144,3
145,1
146,2
147,6
149,66
150,1
151,2
154,5
155,6
157,5
158,75
159,415
161,6
162,38
163,98
165,4
166,1
167,2
168,36
169,87
170,70
171,10
172,432
173,75
174,15
175,62
176,212
178,7
179,2
180,14
182,5
184,2
185,7
187,5
188,116
189,50
190,374
191,7
192,2
196,381
197,1
198,6
199,95
200,396
201,397
202,64
203,366
205,17
206,36
207,86
208,61
210,369
211,17
213,4
214,3
215,3
216,42
217,1
218,395
220,1
221,4
222,11
223,3
224,270
225,12
229,302
230,357
231,29
232,59
233,260
234,8
235,37
236,83
237,1
238,81
239,23
240,268
241,10
243,74
244,4
245,250
247,1
248,21
249,152
250,369
251,1
252,421
253,15
254,419
255,86
256,287
257,72
258,106
259,8
260,78
261,216
262,314
263,221
266,10
267,144
268,27
269,16
270,19
271,18
272,10
273,100
274,22
275,419
277,5
278,22
279,12
282,355
284,7
285,6
286,311
287,51
289,71
290,201
291,47
293,70
294,30
295,12
296,2
297,15
298,2
299,427
300,4
303,160
304,70
305,4
306,30
307,12
308,5
310,10
311,367
313,6
314,2
315,5
316,40
317,197
318,5
319,6
321,20
322,95
323,6
324,2
325,46
326,33
327,4
328,100
329,58
331,3
332,217
333,5
334,47
336,1
337,10
339,302
340,56
342,397
345,2
347,174
349,261
350,1
351,234
352,199
353,7
354,6
355,109
356,12
357,258
358,26
361,9
362,3
363,353
364,57
365,420
366,113
368,59
369,50
370,3
371,13
372,1
373,4
374,212
375,1
376,14
378,164
379,162
380,4
381,25
382,75
383,433
384,5
385,6
386,7
387,216
388,28
389,1
390,43
391,5
392,260
393,9
394,1
395,81
396,301
397,16
398,216
399,44
400,57
403,1
405,30
406,395
407,5
408,7
409,2
410,22
411,2
413,264
414,168
415,231
416,12
418,22
419,283
420,104
421,3
422,2
423,1
424,2
425,28
426,3
427,1
428,220
429,17
430,213
431,27
432,26
433,34
435,264
436,18
437,356
438,1
439,238
440,3
442,1
443,56
444,1
445,398
446,357
447,258
448,366
449,3
450,4
451,4
452,100
453,357
454,433
455,181
457,360
458,18
459,6
460,4
461,3
463,3
464,7
466,10
467,427
468,7
469,54
470,10
471,362
472,14
473,23
474,44
475,387
476,1
477,186
479,1
481,11
482,315
483,65
484,162
485,27
486,106
487,8
488,1
490,10
491,46
492,367
493,22
494,6
495,15
496,381
498,301
500,6
501,2
502,6
503,10
504,4
505,87
506,20
508,4
510,6
511,72
512,12
513,1
514,6
515,138
516,38
517,47
518,4
519,71
520,440
522,81
523,421
524,353
525,82
526,1
527,2
528,2
529,27
530,15
531,420
532,4
534,232
535,283
536,110
537,142
538,33
539,1
540,13
541,38
543,31
544,28
545,3
546,1
547,224
548,10
550,5
551,11
553,220
554,30
555,3
556,10
557,42
558,147
559,234
560,3
561,1
562,47
563,270
564,1
567,26
569,120
570,1
572,315
575,147
576,74
577,7
578,66
579,145
580,13
582,5
583,214
584,8
585,238
586,22
587,268
588,13
589,5
590,232
591,9
592,201
594,5
595,5
596,5
597,3
598,15
599,1
600,2
601,148
602,261
603,2
604,6
605,5
607,181
609,9
610,293
611,23
612,373
614,34
615,3
616,421
617,4
618,5
619,22
620,18
621,3
622,197
623,5
624,120
625,220
626,5
630,82
631,9
632,199
634,21
636,1
637,293
638,5
639,17
640,9
641,2
642,356
643,14
645,38
646,3
647,5
648,2
649,43
650,7
651,13
652,2
653,250
654,2
655,430
656,4
657,71
658,1
659,250
660,5
661,51
663,3
664,61
665,5
666,224
668,4
669,317
670,1
671,316
672,65
673,18
674,224
675,186
677,7
678,1
680,314
681,197
682,46
683,177
685,15
686,234
687,217
688,92
689,18
690,168
691,1
694,6
695,3
696,5
697,9
698,337
699,58
700,8
701,3
702,8
704,10
705,28
706,25
707,287
708,22
709,12
710,148
711,5
712,30
713,10
714,104
715,331
716,26
718,28
720,3
721,23
722,360
723,86
724,231
725,42
726,40
