source,target
1,2
1,3
2,3
1,4
2,4
3,4
1,5
2,5
3,5
4,5
1,6
2,6
3,6
4,6
5,6
1,7
2,7
3,7
4,7
5,7
6,7
1,8
2,8
3,8
4,8
5,8
6,8
7,8
1,9
2,9
3,9
4,9
5,9
6,9
7,9
8,9
1,10
2,10
3,10
4,10
5,10
6,10
7,10
8,10
9,10
1,11
2,11
3,11
4,11
5,11
6,11
7,11
8,11
9,11
10,11
1,12
2,12
3,12
4,12
5,12
6,12
7,12
8,12
9,12
10,12
11,12
1,13
2,13
3,13
4,13
5,13
6,13
7,13
8,13
9,13
10,13
11,13
12,13
1,14
2,14
3,14
4,14
5,14
6,14
7,14
8,14
9,14
10,14
12,14
13,14
1,15
2,15
3,15
4,15
5,15
6,15
7,15
8,15
9,15
10,15
11,15
13,15
1,16
2,16
3,16
4,16
5,16
6,16
7,16
8,16
9,16
10,16
12,16
15,16
2,17
3,17
4,17
5,17
6,17
7,17
8,17
9,17
10,17
11,17
13,17
15,17
2,18
3,18
4,18
5,18
6,18
7,18
8,18
9,18
10,18
11,18
13,18
17,18
1,19
2,19
3,19
4,19
5,19
7,19
10,19
11,19
13,19
15,19
17,19
18,19
1,20
2,20
3,20
4,20
5,20
6,20
7,20
8,20
9,20
10,20
11,20
17,20
1,21
2,21
3,21
4,21
5,21
6,21
7,21
8,21
9,21
10,21
12,21
14,21
1,22
3,22
4,22
5,22
7,22
8,22
11,22
13,22
14,22
15,22
17,22
20,22
1,23
2,23
4,23
5,23
6,23
8,23
9,23
10,23
11,23
17,23
20,23
22,23
1,24
2,24
3,24
4,24
5,24
6,24
7,24
8,24
9,24
10,24
12,24
16,24
1,25
2,25
3,25
4,25
5,25
6,25
7,25
8,25
9,25
10,25
11,25
14,25
1,26
2,26
3,26
4,26
5,26
6,26
7,26
8,26
13,26
14,26
15,26
25,26
2,27
4,27
5,27
6,27
8,27
9,27
10,27
13,27
17,27
19,27
20,27
22,27
1,28
3,28
4,28
6,28
7,28
10,28
11,28
13,28
20,28
22,28
23,28
27,28
1,29
3,29
4,29
5,29
7,29
8,29
9,29
11,29
17,29
20,29
22,29
27,29
1,30
2,30
3,30
4,30
5,30
6,30
7,30
8,30
9,30
14,30
25,30
26,30
1,31
5,31
6,31
9,31
10,31
11,31
15,31
17,31
20,31
23,31
28,31
29,31
2,32
4,32
5,32
6,32
7,32
8,32
9,32
15,32
17,32
20,32
27,32
28,32
1,33
2,33
3,33
4,33
5,33
6,33
7,33
8,33
9,33
13,33
15,33
22,33
1,34
2,34
3,34
5,34
6,34
7,34
8,34
9,34
10,34
11,34
13,34
17,34
1,35
2,35
3,35
4,35
5,35
6,35
7,35
8,35
9,35
12,35
16,35
24,35
3,36
6,36
7,36
8,36
11,36
13,36
18,36
19,36
23,36
27,36
29,36
32,36
1,37
2,37
3,37
4,37
5,37
6,37
7,37
10,37
12,37
16,37
24,37
35,37
1,38
2,38
3,38
4,38
5,38
6,38
7,38
12,38
14,38
21,38
25,38
30,38
1,39
3,39
6,39
8,39
9,39
11,39
13,39
17,39
22,39
23,39
28,39
31,39
1,40
2,40
3,40
4,40
5,40
6,40
7,40
8,40
12,40
14,40
16,40
21,40
1,41
2,41
4,41
5,41
8,41
11,41
13,41
15,41
22,41
23,41
27,41
28,41
1,42
2,42
3,42
4,42
5,42
6,42
7,42
8,42
12,42
16,42
21,42
40,42
1,43
6,43
10,43
11,43
13,43
15,43
19,43
20,43
23,43
29,43
