source,target
219,828
145,751
751,891
474,871
474,555
225,474
474,581
474,692
474,786
474,817
474,633
221,474
197,474
474,815
474,696
474,882
474,775
474,99
317,474
474,767
474,663
416,474
260,474
474,617
474,624
474,720
230,751
204,265
663,751
55,751
696,807
807,99
807,882
775,807
807,877
103,807
725,807
317,807
55,807
767,807
807,894
230,807
799,807
333,807
255,807
452,751
202,751
751,786
225,751
692,751
633,751
221,751
751,817
381,751
751,882
751,830
240,807
204,871
204,225
119,517
517,577
517,607
450,517
517,622
226,517
517,602
377,517
420,555
420,452
225,420
420,562
420,817
420,633
420,882
197,420
420,775
420,725
420,487
420,767
420,810
416,420
420,830
420,485
420,663
412,517
204,555
460,517
208,517
204,692
202,204
204,633
204,240
204,817
204,221
204,696
204,487
204,767
204,260
204,485
204,537
204,230
204,267
204,894
204,457
204,561
204,79
106,517
14,517
366,517
195,517
517,561
33,517
517,797
110,517
420,894
786,807
501,807
185,829
185,400
185,461
185,407
185,728
13,185
185,550
185,420
185,398
745,871
555,745
452,745
197,745
745,882
745,76
725,745
745,810
267,745
697,745
376,745
160,745
646,745
303,745
167,745
745,77
185,561
249,745
185,568
185,86
58,830
416,58
267,58
58,774
58,751
185,202
185,501
185,581
185,225
185,817
185,240
185,221
185,633
185,381
185,197
185,317
185,725
185,799
185,416
185,537
185,230
185,485
185,894
185,663
185,527
185,335
692,807
714,745
222,745
58,86
383,555
383,452
383,871
383,501
383,890
383,877
383,882
383,767
383,55
383,56
383,864
255,383
367,383
141,383
383,385
383,687
383,714
169,383
383,768
383,77
383,889
452,807
555,807
807,871
457,86
46,745
666,86
230,86
494,866
192,866
866,881
491,866
787,866
866,893
180,866
600,866
346,866
263,866
242,866
866,93
827,866
452,86
581,86
225,86
202,86
817,86
633,86
381,86
274,86
86,875
775,86
810,86
260,86
267,86
420,537
255,420
420,807
628,882
628,99
197,628
628,696
628,877
391,628
14,628
628,640
522,628
452,763
763,871
555,763
763,786
692,763
581,763
202,763
240,763
562,763
763,890
763,99
763,877
696,763
537,763
763,836
697,763
196,628
14,763
240,628
274,628
633,891
274,891
381,891
240,891
197,891
775,891
696,891
267,891
230,891
663,891
416,891
485,891
697,891
836,891
527,891
117,891
61,891
6,891
39,891
452,628
581,628
225,628
628,692
202,628
221,628
628,633
225,891
7,763
656,763
13,441
441,442
441,62
441,625
441,728
315,441
368,441
441,730
217,452
217,555
217,581
217,692
217,633
217,817
217,221
217,882
217,775
217,810
217,260
217,894
217,537
217,485
217,267
217,391
217,366
183,441
666,763
441,79
441,708
366,763
441,555
441,452
441,871
441,786
225,441
441,817
221,441
381,441
240,441
441,875
441,99
441,696
441,815
441,810
103,441
441,663
267,441
441,720
441,697
441,488
117,441
161,441
335,441
441,561
441,829
581,891
692,891
501,891
58,61
296,555
296,871
296,692
202,296
225,296
296,786
296,562
296,633
196,296
296,775
296,99
296,696
296,767
296,725
296,799
230,296
296,416
267,296
296,663
296,897
14,296
296,400
296,711
204,296
488,61
261,296
527,61
61,86
131,420
335,420
303,420
13,420
209,420
420,5
61,871
555,61
581,61
202,61
501,61
274,61
381,61
61,817
221,61
240,61
61,633
562,61
61,696
55,61
487,61
416,61
61,894
61,663
61,697
39,61
296,550
296,62
296,303
169,223
169,77
169,553
169,575
169,745
161,265
134,161
161,555
161,452
161,501
161,692
161,581
161,786
161,221
161,99
161,877
161,696
161,882
161,55
161,830
161,646
161,891
161,61
161,443
786,891
169,681
169,687
169,430
169,735
296,442
296,728
296,420
296,315
296,437
169,871
169,581
169,202
169,786
169,225
169,855
169,815
58,894
169,877
169,99
169,775
169,197
169,76
169,317
169,810
169,656
169,391
169,366
169,29
169,58
169,625
169,696
217,646
485,58
58,696
188,347
188,635
188,848
188,481
225,396
396,581
274,396
396,817
396,882
396,696
396,76
396,810
396,767
396,416
396,830
396,894
396,488
396,496
396,58
396,6
161,396
204,396
452,838
555,838
240,838
188,408
221,838
188,701
188,26
239,903
194,239
239,26
239,466
239,433
194,701
188,194
194,481
194,26
194,515
194,848
194,234
194,347
194,614
194,49
194,472
194,839
194,671
194,790
194,766
194,364
194,243
188,239
188,243
188,49
188,790
239,876
196,838
20,838
682,866
536,682
682,904
297,682
326,682
228,682
682,72
63,682
48,871
452,48
48,692
202,48
240,48
48,633
274,48
48,817
48,882
197,48
48,767
48,810
260,48
48,799
48,830
48,488
48,79
597,682
281,838
682,79
224,682
838,875
767,838
487,838
130,838
391,838
697,838
14,838
160,838
613,838
307,838
379,838
838,869
838,896
52,838
682,692
682,877
682,815
682,775
663,682
255,682
106,682
376,682
161,682
561,682
682,829
396,682
335,48
239,497
239,614
515,94
515,726
188,515
497,515
168,515
234,515
515,661
515,738
515,839
466,515
515,886
243,515
174,49
347,49
49,872
49,903
49,497
433,49
49,876
49,738
49,671
408,49
49,515
49,790
472,671
614,790
472,766
790,839
790,94
886,94
726,886
790,886
876,886
661,876
726,876
790,876
174,876
876,94
243,876
839,876
347,876
234,876
408,876
26,876
364,876
364,790
790,903
701,790
726,790
790,872
515,790
239,790
472,790
481,790
661,790
239,515
472,515
188,472
347,510
347,466
26,472
26,903
26,408
26,347
26,726
26,497
26,515
243,26
26,766
26,364
168,26
243,848
243,466
243,408
239,243
243,472
243,364
243,481
243,94
243,49
243,738
243,766
239,701
347,364
239,472
174,347
347,790
466,472
408,515
408,790
408,466
168,408
408,886
408,472
408,510
408,738
408,661
168,364
364,510
239,364
364,94
364,738
364,472
188,364
364,49
364,661
364,848
243,347
347,903
168,347
347,872
347,433
347,481
325,48
48,625
13,48
117,452
117,692
117,501
117,633
117,882
117,810
117,267
117,485
117,260
117,663
117,537
117,830
117,894
117,230
117,14
117,763
117,61
117,457
315,555
225,315
315,786
202,315
315,633
315,562
315,855
117,555
315,877
496,751
39,496
13,5
5,597
183,5
437,5
398,5
5,613
185,5
496,871
496,692
225,496
496,633
240,496
496,562
496,882
496,696
496,99
496,725
487,496
496,810
496,537
485,496
230,496
496,894
496,646
496,527
496,61
5,550
315,882
315,487
224,830
224,267
224,6
224,667
151,555
151,692
151,786
151,581
151,501
151,817
151,274
151,197
151,877
151,767
151,537
151,830
151,267
151,416
151,260
452,58
501,58
225,58
58,786
58,633
562,58
224,416
315,810
224,799
224,485
315,663
315,799
315,894
315,537
315,416
315,624
315,697
315,400
315,711
315,335
315,81
315,407
129,315
315,461
315,325
