source,target
10,391
10,838
103,696
103,727
103,828
106,107
106,130
106,133
106,160
106,166
106,202
106,221
106,27
106,29
106,336
106,366
106,381
106,428
106,479
106,50
106,501
106,522
106,585
106,62
106,627
106,633
106,637
106,656
106,666
106,68
106,693
106,696
106,7
106,727
106,781
106,786
106,81
106,815
106,828
106,83
106,871
106,875
106,890
106,96
107,14
107,164
107,221
107,305
107,349
107,381
107,401
107,432
107,479
107,562
107,571
107,573
107,637
107,656
107,673
107,697
107,7
107,781
107,817
107,858
107,861
107,875
107,890
107,96
117,202
117,225
117,240
117,261
117,274
117,550
117,625
117,786
118,208
118,257
118,450
118,577
119,342
119,577
119,602
119,842
125,391
125,555
126,682
126,79
128,555
129,195
129,202
129,209
129,221
129,29
129,376
129,381
129,416
129,625
129,656
129,666
129,697
129,7
129,711
129,727
129,728
129,767
129,774
129,810
129,815
129,828
129,830
129,836
13,160
13,195
13,202
13,225
13,230
13,240
13,261
13,274
13,325
13,452
13,597
13,62
13,728
13,79
13,882
130,14
130,145
130,193
130,197
130,29
130,339
130,349
130,376
130,401
130,415
130,428
130,436
130,442
130,50
130,530
130,562
130,571
130,581
130,603
130,627
130,628
130,637
130,640
130,666
130,68
130,697
130,763
130,775
130,815
130,817
130,828
130,858
130,875
130,877
130,890
130,96
130,99
131,161
131,202
131,225
131,240
131,261
131,452
131,561
131,625
131,663
131,692
131,696
131,727
131,786
131,851
132,517
132,842
133,166
133,196
133,221
133,240
133,27
133,281
133,285
133,381
133,388
133,401
133,415
133,42
133,434
133,452
133,479
133,490
133,50
133,505
133,511
133,530
133,571
133,656
133,697
133,700
133,817
133,821
133,83
133,858
133,861
133,871
14,164
14,193
14,195
14,196
14,221
14,225
14,240
14,246
14,261
14,274
14,285
14,305
14,325
14,336
14,339
14,391
14,401
14,415
14,428
14,452
14,501
14,549
14,562
14,637
14,666
14,696
14,7
14,704
14,728
14,785
14,786
14,821
14,83
14,871
14,890
14,96
145,225
145,240
145,261
145,366
145,391
145,452
145,461
145,501
145,522
145,550
145,555
145,628
145,728
145,763
145,81
145,828
145,99
151,202
151,225
151,230
151,240
151,261
151,452
151,597
151,6
151,633
151,663
151,696
151,810
151,828
151,871
153,391
155,555
160,183
160,197
160,202
160,221
160,225
160,303
160,366
160,407
160,550
160,62
160,727
160,763
160,81
160,815
160,828
160,836
160,877
161,202
161,260
161,335
161,400
161,561
161,663
161,727
164,246
164,27
164,285
164,388
164,415
164,42
164,432
164,434
164,490
164,50
164,505
164,52
164,573
164,585
164,603
164,616
164,640
164,656
164,673
164,68
164,704
164,785
164,821
164,83
164,875
166,196
166,246
166,27
166,274
166,281
166,285
166,349
166,388
166,42
166,428
166,434
166,530
166,57
166,571
166,603
166,633
166,693
166,694
166,700
166,83
166,836
166,875
166,888
168,194
168,239
168,49
168,790
168,839
168,872
168,876
168,903
168,94
169,376
169,452
169,46
169,487
169,555
169,733
169,767
169,789
169,82
169,882
173,555
174,239
174,243
174,26
174,364
174,408
174,433
174,472
174,515
174,790
174,903
174,94
180,242
180,346
180,491
180,787
180,874
180,881
180,893
180,93
183,376
183,452
183,555
183,697
183,828
183,882
185,368
185,555
185,828
188,433
188,466
188,497
188,510
188,671
188,738
188,766
188,828
188,872
188,876
188,903
188,94
192,446
192,491
192,583
192,600
192,827
192,93
193,240
193,336
193,349
193,381
193,479
193,490
193,50
193,511
193,530
193,558
193,616
193,627
193,633
193,640
193,656
193,694
193,7
193,785
193,83
193,855
193,875
193,890
194,408
194,433
194,497
194,510
194,661
194,876
194,886
195,197
195,202
195,240
195,261
195,274
195,391
195,407
195,461
195,501
195,555
195,666
195,7
195,81
195,877
196,253
196,307
196,35
196,401
196,434
196,436
196,452
196,479
196,487
196,505
196,52
196,530
196,57
196,571
196,616
196,627
196,640
196,666
196,673
196,692
196,693
196,696
196,7
196,725
196,767
196,786
196,83
196,855
196,875
196,890
197,219
197,225
197,255
197,261
197,325
197,366
197,376
197,381
197,391
197,416
197,442
197,452
197,461
197,485
197,522
197,55
197,550
197,555
197,62
197,624
197,633
197,640
197,656
197,692
197,727
197,763
197,807
197,81
197,810
197,815
197,817
20,555
202,217
202,225
202,255
202,261
202,333
202,366
202,381
202,39
202,398
202,414
202,416
202,441
202,442
202,452
202,461
202,474
202,485
202,55
202,568
202,58
202,581
202,613
202,624
202,625
202,633
202,646
202,667
202,725
202,728
202,774
202,775
202,807
202,817
202,829
202,871
202,877
202,891
204,326
204,335
204,452
204,727
204,786
204,828
204,830
209,230
209,240
209,274
209,296
209,335
209,368
209,381
209,474
209,509
209,561
209,604
209,62
209,625
209,633
209,692
209,730
209,767
209,786
209,81
209,830
209,870
209,871
209,882
21,555
210,555
214,316
217,261
217,335
217,368
217,416
217,625
217,663
217,696
217,727
217,786
217,79
217,871
219,498
219,696
219,767
219,815
221,230
221,240
221,255
221,267
221,29
221,303
221,336
221,339
221,349
221,368
221,381
221,388
221,39
221,400
221,401
221,415
221,420
221,428
221,479
221,485
221,501
221,511
221,522
221,55
221,558
221,561
221,562
221,58
221,581
221,616
221,625
221,656
221,680
221,692
221,696
221,697
221,7
221,700
221,708
221,711
221,725
221,727
221,763
221,774
221,785
221,799
221,807
221,858
221,86
221,861
221,870
221,871
221,875
221,894
221,96
221,99
222,696
224,555
224,711
224,828
225,267
225,303
225,333
225,366
225,376
225,381
225,400
225,407
225,457
225,461
225,488
225,501
225,527
225,55
225,561
225,617
225,640
225,656
225,663
225,666
225,667
225,696
225,697
225,708
225,725
225,728
225,763
225,767
225,807
225,817
225,828
225,836
226,257
226,842
228,828
228,904
230,240
230,255
230,267
230,368
230,381
230,39
230,407
230,416
230,420
230,441
230,452
230,474
230,537
230,55
230,550
230,555
230,562
230,6
230,613
230,625
230,696
230,711
230,767
230,815
230,823
234,239
234,26
234,364
234,49
234,790
234,886
234,903
239,347
239,408
239,481
239,49
239,635
239,661
239,738
239,94
240,246
240,255
240,27
240,274
240,335
240,339
240,398
240,400
240,42
240,432
240,434
240,436
240,474
240,490
240,509
240,55
240,561
240,58
240,581
240,6
240,625
240,627
240,633
240,646
240,656
240,663
240,666
240,667
240,673
240,7
240,700
240,728
240,751
240,781
240,815
240,817
240,821
240,855
240,86
240,861
240,870
240,871
240,877
240,890
240,99
242,318
242,33
242,491
242,59
242,600
242,787
242,874
242,881
243,433
243,497
243,510
243,671
243,726
243,790
243,828
243,839
243,886
243,903
246,274
246,336
246,339
246,381
246,428
246,505
246,549
246,562
246,57
246,585
246,627
246,640
246,656
246,666
246,68
246,693
246,697
246,700
246,704
246,785
246,817
246,836
246,858
246,888
246,890
246,96
252,555
252,696
255,260
255,55
255,56
255,624
255,663
255,767
255,815
255,828
26,433
26,466
26,481
26,49
26,510
26,614
26,635
26,701
26,790
26,839
26,848
26,872
26,886
26,94
260,267
260,296
260,315
260,325
260,381
260,39
260,400
260,407
260,420
260,437
260,487
260,550
260,561
260,562
260,568
260,58
260,581
260,633
260,667
260,696
260,725
260,728
260,730
260,751
260,775
260,79
260,807
260,815
260,830
260,871
260,882
260,891
261,303
261,335
261,366
261,368
261,391
261,416
261,420
261,441
261,457
261,487
261,488
261,501
261,509
261,537
261,568
261,581
261,597
261,6
261,60
261,7
261,708
261,725
261,728
261,730
261,751
261,774
261,81
261,828
261,829
261,870
261,877
261,882
261,890
263,446
263,583
263,59
263,600
263,874
263,893
267,368
267,400
267,420
267,457
267,461
267,474
267,48
267,485
267,487
267,501
267,509
267,537
267,562
267,568
267,581
267,597
267,61
267,613
267,62
267,711
267,728
267,730
267,751
267,767
267,774
267,81
267,815
267,828
267,894
27,305
27,336
27,339
27,349
27,381
27,391
27,401
27,42
27,479
27,549
27,555
27,558
27,562
27,573
27,603
27,627
27,633
27,640
27,656
27,693
27,700
27,828
27,836
27,871
27,875
27,888
270,555
273,882
274,317
274,335
274,381
274,388
274,39
274,401
274,416
274,42
274,432
274,436
274,441
274,457
274,461
274,487
274,488
274,490
274,505
274,522
274,527
274,530
274,537
274,562
274,573
274,616
274,637
274,646
274,673
274,68
274,692
274,693
274,694
274,696
274,7
274,704
274,727
274,728
274,730
274,751
274,781
274,785
274,786
274,79
274,81
274,810
274,855
274,861
274,870
274,871
274,875
274,890
274,96
276,555
281,285
281,305
281,336
281,339
281,391
281,42
281,428
281,436
281,452
281,479
281,549
281,558
281,562
281,571
281,585
281,627
281,633
281,637
281,693
281,694
281,697
281,700
281,810
281,817
281,828
281,858
281,875
281,888
281,890
281,96
284,555
285,336
285,339
285,349
285,428
285,452
285,490
285,505
285,530
285,549
285,57
285,571
285,573
285,585
285,603
285,627
285,656
285,694
285,7
285,704
285,781
285,785
285,83
285,861
285,875
285,96
29,376
29,391
29,442
29,501
29,597
29,656
29,692
29,775
29,786
29,828
29,877
292,696
296,398
296,452
296,625
296,79
296,810
296,828
296,882
303,376
303,391
303,452
303,501
303,581
303,663
303,728
303,786
303,81
303,836
303,99
305,349
305,391
305,401
305,415
305,42
305,432
305,479
305,490
305,505
305,549
305,562
305,57
305,571
305,603
305,616
305,637
305,693
305,697
305,817
305,821
305,83
305,861
31,892
315,452
315,692
315,696
315,767
315,870
317,501
317,555
317,581
317,692
317,810
317,882
317,99
318,33
318,866
318,881
318,893
318,93
325,335
325,366
325,376
325,441
325,442
325,457
325,461
325,488
325,501
325,509
325,568
325,597
325,61
325,62
325,625
325,628
325,663
325,666
325,711
325,725
325,730
325,775
325,79
325,810
325,817
325,828
325,836
325,894
326,410
326,711
328,695
33,346
33,491
33,59
33,600
33,866
332,335
