source,target
828,219
828,828
828,426
828,727
828,372
828,727
828,125
828,828
828,136
828,576
828,794
828,828
828,727
828,828
828,219
828,828
828,719
828,727
828,90
828,828
828,520
828,423
828,123
828,219
828,727
828,828
828,423
828,727
828,467
828,828
828,828
828,755
828,219
828,219
828,526
828,828
828,759
828,828
828,378
828,125
828,803
828,828
828,727
828,639
828,199
828,828
828,389
828,755
828,764
828,17
828,727
828,219
828,727
828,727
828,125
828,828
828,219
828,578
828,828
828,727
828,125
828,758
828,219
828,577
828,139
828,373
828,118
828,571
828,637
828,673
828,781
828,888
828,616
828,50
828,855
828,490
828,83
828,96
828,388
828,166
828,673
828,434
828,530
828,673
828,246
828,855
828,479
828,434
828,766
828,188
828,188
828,347
828,239
828,614
828,845
828,575
828,292
828,367
828,379
828,392
828,429
828,508
828,63
828,214
828,297
828,44
828,44
828,72
828,410
828,63
828,343
828,420
828,5
828,217
828,368
828,204
828,604
828,509
828,315
828,730
828,730
828,604
828,613
828,224
828,368
828,443
828,441
828,224
828,209
828,396
828,217
828,870
828,398
828,217
828,613
828,217
828,613
828,103
828,13
828,550
828,325
828,625
828,728
828,407
828,81
828,877
828,625
828,728
828,625
828,62
828,62
828,461
828,261
828,697
828,666
828,14
828,130
828,281
828,391
828,890
828,697
828,890
828,7
828,666
828,640
828,151
828,527
828,61
828,457
828,457
828,891
828,117
828,527
828,488
828,488
828,335
828,851
828,335
828,400
828,851
828,335
828,131
828,400
828,161
828,568
828,628
828,29
828,628
828,366
828,628
828,366
828,29
828,763
828,145
828,160
828,522
828,628
828,376
828,366
828,720
828,474
828,474
828,333
828,807
828,617
828,807
828,333
828,230
828,260
828,485
828,830
828,230
828,894
828,0
828,435
828,501
828,202
828,786
828,882
828,696
828,225
828,225
828,786
828,225
828,745
828,77
828,383
828,383
828,77
828,252
828,169
828,169
828,169
828,169
828,383
828,633
828,555
828,633
828,452
828,555
828,555
828,871
828,871
828,633
828,240
828,452
828,871
828,274
828,240
828,240
828,633
828,452
828,555
828,452
828,871
828,871
828,871
828,767
828,55
828,810
828,810
828,774
828,774
828,767
828,767
828,55
828,517
828,682
828,517
828,842
828,842
828,602
828,866
828,815
828,775
828,775
828,775
828,99
828,99
828,815
828,775
828,197
828,99
828,815
828,99
828,729
828,838
828,838
828,20
828,511
828,20
828,817
828,562
828,817
828,82
828,834
828,896
828,348
828,101
828,734
828,276
828,735
727,262
727,727
727,219
727,28
727,449
727,828
727,755
727,828
727,828
727,828
727,869
727,219
727,219
727,828
727,727
727,609
727,828
727,4
727,736
727,828
727,727
727,150
727,219
727,828
727,727
727,828
727,828
727,727
727,828
727,727
727,149
727,727
727,828
727,660
727,65
727,828
727,327
727,727
727,219
727,36
727,219
727,331
727,311
727,219
727,643
727,727
727,727
727,828
727,828
727,828
727,803
727,828
727,828
727,198
727,727
727,605
727,606
727,219
727,309
727,358
727,357
727,375
727,351
727,828
727,219
727,512
727,512
727,186
727,118
727,266
727,216
727,257
727,96
727,339
727,432
727,27
727,888
727,401
727,27
727,436
727,432
727,726
727,408
727,497
727,872
727,839
727,188
727,194
727,347
727,429
727,429
727,345
727,76
727,284
727,337
727,292
727,379
727,765
727,613
727,317
727,420
727,823
727,870
727,730
727,509
727,541
727,368
727,296
727,209
727,209
727,209
727,398
727,325
727,550
727,461
727,877
727,303
727,461
727,62
727,728
727,625
727,836
727,836
727,281
727,656
727,130
727,697
727,836
727,640
727,7
727,697
727,196
727,751
727,39
727,61
727,488
727,496
727,711
727,711
727,561
727,79
727,335
727,131
727,335
727,131
727,79
727,79
727,708
727,400
727,711
727,561
727,145
727,366
727,145
727,628
727,376
727,195
727,376
727,255
727,255
727,720
727,720
727,255
727,720
727,624
727,56
727,255
727,115
727,416
727,830
727,267
727,894
727,830
727,416
727,230
727,894
727,416
727,894
727,260
727,786
727,581
727,882
727,225
727,501
727,692
727,696
727,882
727,786
727,581
727,692
727,696
727,581
727,252
727,745
727,252
727,383
727,274
727,555
727,274
727,555
727,633
727,555
727,555
727,633
727,633
727,452
727,871
727,555
727,633
727,871
727,452
727,633
727,810
727,774
727,725
727,682
727,866
727,866
727,866
727,866
727,99
727,815
727,99
727,99
727,815
727,197
727,99
727,775
727,99
727,815
727,253
727,511
727,838
727,562
727,221
727,817
727,381
727,817
727,381
727,80
727,796
727,681
727,680
727,73
727,109
727,178
727,148
727,211
727,551
555,725
555,725
555,55
555,774
555,810
555,767
555,810
555,725
555,487
555,774
555,197
555,815
555,197
555,815
555,815
555,253
555,729
555,253
555,511
555,838
555,532
555,838
555,20
