stat,stat_type,distance_type,distance
char_time,scalar,abs_diff,-37.48623311500221
char_time,scalar,rel_diff,-12.817547943091132
char_time,scalar,rpd,-0.865024901037521
deg_assort,scalar,abs_diff,-0.06136020717583525
deg_assort,scalar,rel_diff,0.32944608933414865
deg_assort,scalar,rpd,-0.19720769693857867
frac_giant_ccomp,scalar,abs_diff,0.05994213908268797
frac_giant_ccomp,scalar,rel_diff,0.06012080417682415
frac_giant_ccomp,scalar,rpd,0.0309920351258328
global_ccoeff,scalar,abs_diff,-0.2411680390281486
global_ccoeff,scalar,rel_diff,-0.7854788249443426
global_ccoeff,scalar,rpd,-0.28199059275205135
local_ccoeff,scalar,abs_diff,-0.1551169409236265
local_ccoeff,scalar,rel_diff,-0.45717879204498696
local_ccoeff,scalar,rpd,-0.18605841525455294
mean_degree,scalar,abs_diff,6.903630739760356
mean_degree,scalar,rel_diff,0.23069232809626214
mean_degree,scalar,rpd,0.130385648442954
mean_kcore,scalar,abs_diff,1.8776900898418667
mean_kcore,scalar,rel_diff,0.10508818548553649
mean_kcore,scalar,rpd,0.055458087643230736
n_clusters,scalar,abs_diff,0.0
n_clusters,scalar,rel_diff,0.0
n_clusters,scalar,rpd,0.0
n_concomp,scalar,abs_diff,-23.0
n_concomp,scalar,rel_diff,-11.5
n_concomp,scalar,rpd,-0.8518518518518519
n_connected_clusters,scalar,abs_diff,-83.0
n_connected_clusters,scalar,rel_diff,-20.75
n_connected_clusters,scalar,rpd,-0.9120879120879121
n_disconnected_clusters,scalar,abs_diff,83.0
n_disconnected_clusters,scalar,rel_diff,1.0
n_disconnected_clusters,scalar,rpd,1.0
n_edges,scalar,abs_diff,-359.0
n_edges,scalar,rel_diff,-0.035650446871896724
n_edges,scalar,rpd,-0.017513049417044735
n_nodes,scalar,abs_diff,-233.0
n_nodes,scalar,rel_diff,-0.3462109955423477
n_nodes,scalar,rpd,-0.14756174794173527
n_outliers,scalar,abs_diff,-101.0
n_outliers,scalar,rel_diff,-0.39763779527559057
n_outliers,scalar,rpd,-0.16584564860426929
node_coverage,scalar,abs_diff,0.01441766791638377
node_coverage,scalar,rel_diff,0.0231577339086546
node_coverage,scalar,rpd,0.011714507680191685
node_percolation_random,scalar,abs_diff,0.09022568528296665
node_percolation_random,scalar,rel_diff,0.19861190475730037
node_percolation_random,scalar,rpd,0.11025492245775143
node_percolation_targeted,scalar,abs_diff,0.02001788022071055
node_percolation_targeted,scalar,rel_diff,0.0399768889958739
node_percolation_targeted,scalar,rpd,0.020396131439181658
pseudo_diameter,scalar,abs_diff,-2.0
pseudo_diameter,scalar,rel_diff,-0.3333333333333333
pseudo_diameter,scalar,rpd,-0.14285714285714285
c,distribution,ks,0.21839080459770116
c,distribution,emd,100.4597701149425
concomp_sizes,distribution,ks,0.46
concomp_sizes,distribution,emd,314.5
conductance,distribution,ks,0.5747126436781609
conductance,distribution,emd,0.39349649991319696
degree,distribution,ks,0.18508277325671027
degree,distribution,emd,7.383233454368928
degree_density,distribution,ks,0.7701149425287356
degree_density,distribution,emd,1.1798503818558261
edge_density,distribution,ks,0.9080459770114943
edge_density,distribution,emd,0.7725577048768648
kcore,distribution,ks,0.19424900531047762
kcore,distribution,emd,7.3169836880758625
local_ccoeff_nodes,distribution,ks,0.37013438558856426
local_ccoeff_nodes,distribution,emd,0.23018680430117566
m,distribution,ks,0.6206896551724138
m,distribution,emd,15.954022988505734
mincut,distribution,ks,0.9540229885057471
mincut,distribution,emd,2.5747126436781604
mixing_parameter,distribution,ks,0.214672370531858
mixing_parameter,distribution,emd,0.0962264668041301
modularity,distribution,ks,0.5862068965517241
modularity,distribution,emd,0.0016744252334447663
n,distribution,ks,0.0
n,distribution,emd,0.0
pagerank,distribution,ks,0.1940833603941365
pagerank,distribution,emd,0.0004865266288883396
c,sequence,l1,11413.0
c,sequence,mean_l1,134.27058823529413
c,sequence,l2,3561.4638844160695
c,sequence,rmse,386.2949954754938
c,sequence,cosine,0.3926416494063013
conductance,sequence,l1,43.965774833285494
conductance,sequence,mean_l1,0.5172444098033587
conductance,sequence,l2,5.759269164588019
conductance,sequence,rmse,0.6246804482874743
conductance,sequence,cosine,0.2863397643625134
degree,sequence,l1,24312.0
degree,sequence,mean_l1,36.12481426448737
degree,sequence,l2,1455.8804896007089
degree,sequence,rmse,56.12006869164919
degree,sequence,cosine,0.7034252187549133
degree_density,sequence,l1,124.41141943658276
degree_density,sequence,mean_l1,1.4636637580774443
degree_density,sequence,l2,31.47565198400134
degree_density,sequence,rmse,3.4140137975150515
degree_density,sequence,cosine,0.6270939824268578
edge_density,sequence,l1,66.92556708145166
edge_density,sequence,mean_l1,0.7873596127229607
edge_density,sequence,l2,7.718715267025632
edge_density,sequence,rmse,0.8372122183238607
edge_density,sequence,cosine,0.5702531027523048
kcore,sequence,l1,14217.0
kcore,sequence,mean_l1,21.12481426448737
kcore,sequence,l2,762.1226935343154
kcore,sequence,rmse,29.37767091331839
kcore,sequence,cosine,0.5965211360716294
local_ccoeff_nodes,sequence,l1,283.9921908534335
local_ccoeff_nodes,sequence,mean_l1,0.4219794812086679
