stat,stat_type,distance_type,distance
char_time,scalar,abs_diff,-37.47933002449953
char_time,scalar,rel_diff,-12.78501047039453
char_time,scalar,rpd,-0.8647278604229064
deg_assort,scalar,abs_diff,-0.06914206465330085
deg_assort,scalar,rel_diff,0.3563390117899098
deg_assort,scalar,rpd,-0.21679592954138002
frac_giant_ccomp,scalar,abs_diff,0.06070640176600439
frac_giant_ccomp,scalar,rel_diff,0.060840707964601747
frac_giant_ccomp,scalar,rpd,0.03137478608100398
global_ccoeff,scalar,abs_diff,-0.2480618696521743
global_ccoeff,scalar,rel_diff,-0.826489075009702
global_ccoeff,scalar,rpd,-0.29240837416180887
local_ccoeff,scalar,abs_diff,-0.24922171447935193
local_ccoeff,scalar,rel_diff,-1.0164562269065127
local_ccoeff,scalar,rpd,-0.33697032227413626
mean_degree,scalar,abs_diff,-0.5562913907284788
mean_degree,scalar,rel_diff,-0.024761717598506525
mean_degree,scalar,rpd,-0.01222944773366985
mean_kcore,scalar,abs_diff,-2.3984547461368653
mean_kcore,scalar,rel_diff,-0.17646581127172323
mean_kcore,scalar,rpd,-0.08107906421402186
n_clusters,scalar,abs_diff,0.0
n_clusters,scalar,rel_diff,0.0
n_clusters,scalar,rpd,0.0
n_concomp,scalar,abs_diff,-23.0
n_concomp,scalar,rel_diff,-11.5
n_concomp,scalar,rpd,-0.8518518518518519
n_connected_clusters,scalar,abs_diff,-41.0
n_connected_clusters,scalar,rel_diff,-1.7083333333333333
n_connected_clusters,scalar,rpd,-0.4606741573033708
n_disconnected_clusters,scalar,abs_diff,41.0
n_disconnected_clusters,scalar,rel_diff,1.0
n_disconnected_clusters,scalar,rpd,1.0
n_edges,scalar,abs_diff,-252.0
n_edges,scalar,rel_diff,-0.024761717598506434
n_edges,scalar,rpd,-0.012229447733669805
n_nodes,scalar,abs_diff,0.0
n_nodes,scalar,rel_diff,0.0
n_nodes,scalar,rpd,0.0
n_outliers,scalar,abs_diff,0.0
n_outliers,scalar,rel_diff,0.0
n_outliers,scalar,rpd,0.0
node_coverage,scalar,abs_diff,0.0
node_coverage,scalar,rel_diff,0.0
node_coverage,scalar,rpd,0.0
node_percolation_random,scalar,abs_diff,0.044622068232874845
node_percolation_random,scalar,rel_diff,0.10582014556431033
node_percolation_random,scalar,rpd,0.05586594394217969
node_percolation_targeted,scalar,abs_diff,0.019829783294105063
node_percolation_targeted,scalar,rel_diff,0.039616129754568435
node_percolation_targeted,scalar,rpd,0.02020835324951366
pseudo_diameter,scalar,abs_diff,-2.0
pseudo_diameter,scalar,rel_diff,-0.3333333333333333
pseudo_diameter,scalar,rpd,-0.14285714285714285
c,distribution,ks,0.4153846153846154
c,distribution,emd,163.09230769230766
cluster_deg_assort,distribution,ks,0.2153846153846154
cluster_deg_assort,distribution,emd,0.09575997767547746
cluster_frac_giant_ccomp,distribution,ks,0.6307692307692307
cluster_frac_giant_ccomp,distribution,emd,0.21248892671345082
cluster_global_ccoeff,distribution,ks,0.3076923076923077
cluster_global_ccoeff,distribution,emd,0.19068176755829613
cluster_local_ccoeff,distribution,ks,0.3384615384615385
cluster_local_ccoeff,distribution,emd,0.2046204985611132
cluster_mean_degree,distribution,ks,0.36923076923076925
cluster_mean_degree,distribution,emd,1.6223784200982916
