stat,stat_type,distance_type,distance
char_time,scalar,abs_diff,-18.16740101083638
char_time,scalar,rel_diff,-0.8167534066299333
char_time,scalar,rpd,-0.28996269418100284
deg_assort,scalar,abs_diff,0.06288215597954225
deg_assort,scalar,rel_diff,-1.0140600723402124
deg_assort,scalar,rpd,0.33644321878192157
frac_giant_ccomp,scalar,abs_diff,-0.004415011037527616
frac_giant_ccomp,scalar,rel_diff,-0.004733727810650912
frac_giant_ccomp,scalar,rpd,-0.002361275088547828
global_ccoeff,scalar,abs_diff,-0.04705707080420474
global_ccoeff,scalar,rel_diff,-0.09389927758473078
global_ccoeff,scalar,rpd,-0.04484421891249786
local_ccoeff,scalar,abs_diff,-0.1521048576241933
local_ccoeff,scalar,rel_diff,-0.4443564251270125
local_ccoeff,scalar,rpd,-0.18178871974610783
mean_degree,scalar,abs_diff,-0.19205298013245198
mean_degree,scalar,rel_diff,-0.008412299361825639
mean_degree,scalar,rpd,-0.004188532088007354
mean_kcore,scalar,abs_diff,-1.6865342163355415
mean_kcore,scalar,rel_diff,-0.11791033258739105
mean_kcore,scalar,rpd,-0.05567295780805948
n_clusters,scalar,abs_diff,0.0
n_clusters,scalar,rel_diff,0.0
n_clusters,scalar,rpd,0.0
n_concomp,scalar,abs_diff,1.0
n_concomp,scalar,rel_diff,0.038461538461538464
n_concomp,scalar,rpd,0.0196078431372549
n_connected_clusters,scalar,abs_diff,0.0
n_connected_clusters,scalar,rel_diff,0.0
n_connected_clusters,scalar,rpd,0.0
n_disconnected_clusters,scalar,abs_diff,0.0
n_disconnected_clusters,scalar,rel_diff,
n_disconnected_clusters,scalar,rpd,0.0
n_edges,scalar,abs_diff,-87.0
n_edges,scalar,rel_diff,-0.008412299361825566
n_edges,scalar,rpd,-0.004188532088007318
n_nodes,scalar,abs_diff,0.0
n_nodes,scalar,rel_diff,0.0
n_nodes,scalar,rpd,0.0
n_outliers,scalar,abs_diff,0.0
n_outliers,scalar,rel_diff,0.0
n_outliers,scalar,rpd,0.0
node_coverage,scalar,abs_diff,0.0
node_coverage,scalar,rel_diff,0.0
node_coverage,scalar,rpd,0.0
node_percolation_random,scalar,abs_diff,0.029621995136665524
node_percolation_random,scalar,rel_diff,0.07524428677175057
node_percolation_random,scalar,rpd,0.0390929021561645
node_percolation_targeted,scalar,abs_diff,-0.005337241543986793
node_percolation_targeted,scalar,rel_diff,-0.011227287870633615
node_percolation_targeted,scalar,rpd,-0.005582306852310258
pseudo_diameter,scalar,abs_diff,-1.0
pseudo_diameter,scalar,rel_diff,-0.14285714285714285
pseudo_diameter,scalar,rpd,-0.06666666666666667
c,distribution,ks,0.022988505747126436
c,distribution,emd,3.32183908045977
concomp_sizes,distribution,ks,0.04
concomp_sizes,distribution,emd,1.5169230769231286
conductance,distribution,ks,0.022988505747126436
conductance,distribution,emd,0.004503629794386321
degree,distribution,ks,0.0033112582781456954
degree,distribution,emd,0.20088300220750643
degree_density,distribution,ks,0.022988505747126436
degree_density,distribution,emd,0.05982644210943855
edge_density,distribution,ks,0.04597701149425287
edge_density,distribution,emd,0.010791259384495731
kcore,distribution,ks,0.08278145695364239
kcore,distribution,emd,1.7328918322295799
local_ccoeff_nodes,distribution,ks,0.24392935982339956
local_ccoeff_nodes,distribution,emd,0.1521048576241933
m,distribution,ks,0.022988505747126436
m,distribution,emd,1.1264367816091965
mincut,distribution,ks,0.011494252873563218
mincut,distribution,emd,0.034482758620689724
mixing_parameter,distribution,ks,0.029801324503311258
mixing_parameter,distribution,emd,0.014068466043052327
modularity,distribution,ks,0.4827586206896552
modularity,distribution,emd,0.00011630610540656522
n,distribution,ks,0.0
n,distribution,emd,0.0
pagerank,distribution,ks,0.23620309050772628
