stat,stat_type,distance_type,distance
char_time,scalar,abs_diff,-39.02605256694314
char_time,scalar,rel_diff,-28.182069268693972
char_time,scalar,rpd,-0.9337354910229936
deg_assort,scalar,abs_diff,-0.32577177379260175
deg_assort,scalar,rel_diff,0.7228702918257004
deg_assort,scalar,rpd,-0.5660116487769031
frac_giant_ccomp,scalar,abs_diff,0.0629139072847682
frac_giant_ccomp,scalar,rel_diff,0.0629139072847682
frac_giant_ccomp,scalar,rpd,0.032478632478632474
global_ccoeff,scalar,abs_diff,-0.2961160385652923
global_ccoeff,scalar,rel_diff,-1.174666719979319
global_ccoeff,scalar,rpd,-0.37001261032747756
local_ccoeff,scalar,abs_diff,0.23730682789361124
local_ccoeff,scalar,rel_diff,0.32431574610443237
local_ccoeff,scalar,rpd,0.193542277043229
mean_degree,scalar,abs_diff,-0.13024282560706624
mean_degree,scalar,rel_diff,-0.005689488910318323
mean_degree,scalar,rpd,-0.002836674840136593
mean_kcore,scalar,abs_diff,-3.2052980132450326
mean_kcore,scalar,rel_diff,-0.2507122507122507
mean_kcore,scalar,rpd,-0.11139240506329112
n_clusters,scalar,abs_diff,-77.0
n_clusters,scalar,rel_diff,-7.7
n_clusters,scalar,rpd,-0.7938144329896907
n_concomp,scalar,abs_diff,-24.0
n_concomp,scalar,rel_diff,-24.0
n_concomp,scalar,rpd,-0.9230769230769231
n_connected_clusters,scalar,abs_diff,-79.0
n_connected_clusters,scalar,rel_diff,-9.875
n_connected_clusters,scalar,rpd,-0.8315789473684211
n_disconnected_clusters,scalar,abs_diff,2.0
n_disconnected_clusters,scalar,rel_diff,1.0
n_disconnected_clusters,scalar,rpd,1.0
n_edges,scalar,abs_diff,-59.0
n_edges,scalar,rel_diff,-0.005689488910318226
n_edges,scalar,rpd,-0.002836674840136545
n_nodes,scalar,abs_diff,0.0
n_nodes,scalar,rel_diff,0.0
n_nodes,scalar,rpd,0.0
n_outliers,scalar,abs_diff,-355.0
n_outliers,scalar,rel_diff,
n_outliers,scalar,rpd,-1.0
node_coverage,scalar,abs_diff,0.39183222958057395
node_coverage,scalar,rel_diff,0.39183222958057395
node_coverage,scalar,rpd,0.24365133836650654
node_percolation_random,scalar,abs_diff,0.10683449556306013
node_percolation_random,scalar,rel_diff,0.2268777378664589
node_percolation_random,scalar,rpd,0.1279538037007466
node_percolation_targeted,scalar,abs_diff,0.01983343810456656
node_percolation_targeted,scalar,rel_diff,0.0396231420567526
node_percolation_targeted,scalar,rpd,0.02021200255257231
pseudo_diameter,scalar,abs_diff,-4.0
pseudo_diameter,scalar,rel_diff,-1.0
pseudo_diameter,scalar,rpd,-0.3333333333333333
c,distribution,ks,0.9310344827586207
c,distribution,emd,1356.2988505747126
concomp_sizes,distribution,ks,1.0
concomp_sizes,distribution,emd,869.76
conductance,distribution,ks,0.6551724137931034
conductance,distribution,emd,0.3465767898818981
degree,distribution,ks,0.37527593818984545
degree,distribution,emd,6.929359823399556
degree_density,distribution,ks,0.8275862068965517
degree_density,distribution,emd,2.3508535986892576
edge_density,distribution,ks,0.9885057471264368
edge_density,distribution,emd,0.8134934639138883
kcore,distribution,ks,0.3818984547461369
kcore,distribution,emd,5.849889624724062
local_ccoeff_nodes,distribution,ks,0.3565121412803532
local_ccoeff_nodes,distribution,emd,0.23730682789361132
m,distribution,ks,0.9655172413793104
m,distribution,emd,267.4712643678161
mincut,distribution,ks,0.3103448275862069
mincut,distribution,emd,1.8206896551724134
mixing_parameter,distribution,ks,0.5452538631346578
mixing_parameter,distribution,emd,0.26527669241868074
modularity,distribution,ks,0.9425287356321839
modularity,distribution,emd,0.015192912171822073
n,distribution,ks,1.0
n,distribution,emd,84.26666666666665
pagerank,distribution,ks,0.1490066225165563
pagerank,distribution,emd,0.0003870147507693442
c,sequence,l1,7142.0
c,sequence,mean_l1,714.2
c,sequence,l2,3032.3786043302707
c,sequence,rmse,958.9223117646184
c,sequence,cosine,0.12090288909173796
conductance,sequence,l1,1.935627640967597
conductance,sequence,mean_l1,0.1935627640967597
conductance,sequence,l2,0.6651422250279512
conductance,sequence,rmse,0.2103364399040579
conductance,sequence,cosine,0.004669760270186951
degree,sequence,l1,29813.0
degree,sequence,mean_l1,32.94254143646409
degree,sequence,l2,1772.996051885057
degree,sequence,rmse,58.936382969852
degree,sequence,cosine,0.7504964356798026
degree_density,sequence,l1,13.920577995316892
degree_density,sequence,mean_l1,1.3920577995316892
degree_density,sequence,l2,5.335184849486461
degree_density,sequence,rmse,1.6871335862399834
degree_density,sequence,cosine,0.08969747144524953
edge_density,sequence,l1,7.818494958201406
