stat,stat_type,distance_type,distance
char_time,scalar,abs_diff,-35.79834599218768
char_time,scalar,rel_diff,-7.761176436927428
char_time,scalar,rpd,-0.7951066643530983
deg_assort,scalar,abs_diff,-0.14393837274565147
deg_assort,scalar,rel_diff,0.5354236359849058
deg_assort,scalar,rpd,-0.3655826006348056
frac_giant_ccomp,scalar,abs_diff,0.0629139072847682
frac_giant_ccomp,scalar,rel_diff,0.0629139072847682
frac_giant_ccomp,scalar,rpd,0.032478632478632474
global_ccoeff,scalar,abs_diff,-0.44938439747566167
global_ccoeff,scalar,rel_diff,-4.547652112294525
global_ccoeff,scalar,rpd,-0.6945469970457654
local_ccoeff,scalar,abs_diff,0.31680522295707403
local_ccoeff,scalar,rel_diff,0.3905323386618524
local_ccoeff,scalar,rpd,0.24264689999248262
mean_degree,scalar,abs_diff,0.8057395143487867
mean_degree,scalar,rel_diff,0.03381508245321478
mean_degree,scalar,rpd,0.017198322574565345
mean_kcore,scalar,abs_diff,-3.990066225165563
mean_kcore,scalar,rel_diff,-0.3325055187637969
mean_kcore,scalar,rpd,-0.14255293978469183
n_clusters,scalar,abs_diff,177.0
n_clusters,scalar,rel_diff,0.6704545454545454
n_clusters,scalar,rpd,0.5042735042735043
n_concomp,scalar,abs_diff,-24.0
n_concomp,scalar,rel_diff,-24.0
n_concomp,scalar,rpd,-0.9230769230769231
n_connected_clusters,scalar,abs_diff,159.0
n_connected_clusters,scalar,rel_diff,0.6463414634146342
n_connected_clusters,scalar,rpd,0.4774774774774775
n_disconnected_clusters,scalar,abs_diff,18.0
n_disconnected_clusters,scalar,rel_diff,1.0
n_disconnected_clusters,scalar,rpd,1.0
n_edges,scalar,abs_diff,365.0
n_edges,scalar,rel_diff,0.03381508245321475
n_edges,scalar,rpd,0.01719832257456533
n_nodes,scalar,abs_diff,0.0
n_nodes,scalar,rel_diff,0.0
n_nodes,scalar,rpd,0.0
n_outliers,scalar,abs_diff,-229.0
n_outliers,scalar,rel_diff,-1.8174603174603174
n_outliers,scalar,rpd,-0.4760914760914761
node_coverage,scalar,abs_diff,0.2527593818984547
node_coverage,scalar,rel_diff,0.29358974358974355
node_coverage,scalar,rpd,0.1720510894064613
node_percolation_random,scalar,abs_diff,0.12726342411882519
node_percolation_random,scalar,rel_diff,0.25902397367269997
node_percolation_random,scalar,rpd,0.14878089632235061
node_percolation_targeted,scalar,abs_diff,0.01983343810456656
node_percolation_targeted,scalar,rel_diff,0.0396231420567526
node_percolation_targeted,scalar,rpd,0.02021200255257231
pseudo_diameter,scalar,abs_diff,-5.0
pseudo_diameter,scalar,rel_diff,-1.6666666666666667
pseudo_diameter,scalar,rpd,-0.45454545454545453
c,distribution,ks,0.7011494252873564
c,distribution,emd,140.88492685475447
concomp_sizes,distribution,ks,1.0
concomp_sizes,distribution,emd,869.76
conductance,distribution,ks,0.7015412748171369
conductance,distribution,emd,0.44984270148537725
degree,distribution,ks,0.6611479028697572
degree,distribution,emd,18.518763796909496
degree_density,distribution,ks,0.17685475444096133
degree_density,distribution,emd,0.9594546571805784
edge_density,distribution,ks,0.04924242424242424
edge_density,distribution,emd,0.021058723198158047
kcore,distribution,ks,0.6876379690949227
kcore,distribution,emd,16.778145695364238
local_ccoeff_nodes,distribution,ks,0.40507726269315675
local_ccoeff_nodes,distribution,emd,0.33639376709950625
m,distribution,ks,0.19932079414838036
m,distribution,emd,30.958202716823394
mincut,distribution,ks,0.11768547544409613
mincut,distribution,emd,1.333333333333333
mixing_parameter,distribution,ks,0.3068432671081678
mixing_parameter,distribution,emd,0.1996943331667778
modularity,distribution,ks,0.43900208986415884
modularity,distribution,emd,0.0022841288804252096
n,distribution,ks,0.19592476489028213
n,distribution,emd,3.496342737722048
pagerank,distribution,ks,0.5264900662251656
pagerank,distribution,emd,0.0005381392258229885
c,sequence,l1,10542.0
c,sequence,mean_l1,215.14285714285714
c,sequence,l2,2860.5443537900264
c,sequence,rmse,408.6491933985752
c,sequence,cosine,0.6719482651049571
conductance,sequence,l1,22.960455205044983
conductance,sequence,mean_l1,0.4685807184703058
conductance,sequence,l2,4.076144373859699
conductance,sequence,rmse,0.5823063391228142
conductance,sequence,cosine,0.216954313115854
degree,sequence,l1,28513.0
degree,sequence,mean_l1,31.5060773480663
degree,sequence,l2,2102.4702138199245
degree,sequence,rmse,69.88847469381217
degree,sequence,cosine,0.8213921467900346
degree_density,sequence,l1,66.95085604051121
degree_density,sequence,mean_l1,1.3663440008267593
degree_density,sequence,l2,25.02128924252821
degree_density,sequence,rmse,3.5744698917897435
degree_density,sequence,cosine,0.4343111614654972
edge_density,sequence,l1,12.809227523096691
edge_density,sequence,mean_l1,0.26141280659381
edge_density,sequence,l2,2.8550650983926085
edge_density,sequence,rmse,0.4078664426275154
edge_density,sequence,cosine,0.10264016354103345
