stat,stat_type,distance_type,distance
char_time,scalar,abs_diff,-7.268745398008804
char_time,scalar,rel_diff,-0.2193206688025112
char_time,scalar,rpd,-0.09882333449399677
deg_assort,scalar,abs_diff,0.13411201976605416
deg_assort,scalar,rel_diff,14.546439694743787
deg_assort,scalar,rpd,1.0
frac_giant_ccomp,scalar,abs_diff,-0.03908165812543141
frac_giant_ccomp,scalar,rel_diff,-0.043520562505110036
frac_giant_ccomp,scalar,rpd,-0.02129685568309578
global_ccoeff,scalar,abs_diff,-0.20712769796668046
global_ccoeff,scalar,rel_diff,-0.6072817222913979
global_ccoeff,scalar,rpd,-0.23291756970462368
local_ccoeff,scalar,abs_diff,-0.27833646214591073
local_ccoeff,scalar,rel_diff,-1.288164651268874
local_ccoeff,scalar,rpd,-0.39175795250149126
mean_degree,scalar,abs_diff,-6.529835587338415
mean_degree,scalar,rel_diff,-0.39593383300478957
mean_degree,scalar,rpd,-0.16525240703673394
mean_kcore,scalar,abs_diff,-5.495609462416118
mean_kcore,scalar,rel_diff,-0.5236678359496448
mean_kcore,scalar,rpd,-0.20750267863702082
n_clusters,scalar,abs_diff,0.0
n_clusters,scalar,rel_diff,0.0
n_clusters,scalar,rpd,0.0
n_concomp,scalar,abs_diff,18.0
n_concomp,scalar,rel_diff,0.4186046511627907
n_concomp,scalar,rpd,0.2647058823529412
n_connected_clusters,scalar,abs_diff,-21.0
n_connected_clusters,scalar,rel_diff,-0.3181818181818182
n_connected_clusters,scalar,rpd,-0.13725490196078433
n_disconnected_clusters,scalar,abs_diff,21.0
n_disconnected_clusters,scalar,rel_diff,1.0
n_disconnected_clusters,scalar,rpd,1.0
n_edges,scalar,abs_diff,-2991.0
n_edges,scalar,rel_diff,-0.40212422694272654
n_edges,scalar,rpd,-0.16740359321654447
n_nodes,scalar,abs_diff,-4.0
n_nodes,scalar,rel_diff,-0.004434589800443459
n_nodes,scalar,rpd,-0.0022123893805309734
n_outliers,scalar,abs_diff,0.0
n_outliers,scalar,rel_diff,0.0
n_outliers,scalar,rpd,0.0
node_coverage,scalar,abs_diff,-0.0017376152087830166
node_coverage,scalar,rel_diff,-0.002865317949400879
node_coverage,scalar,rpd,-0.0014306093993052343
node_percolation_random,scalar,abs_diff,0.025836710003844077
node_percolation_random,scalar,rel_diff,0.06626626044539577
node_percolation_random,scalar,rpd,0.03426855470839477
node_percolation_targeted,scalar,abs_diff,-0.0024132677007416836
node_percolation_targeted,scalar,rel_diff,-0.005045456016801285
node_percolation_targeted,scalar,rpd,-0.002516379866431819
pseudo_diameter,scalar,abs_diff,1.0
pseudo_diameter,scalar,rel_diff,0.1111111111111111
pseudo_diameter,scalar,rpd,0.058823529411764705
c,distribution,ks,0.06896551724137931
c,distribution,emd,42.505747126436795
concomp_sizes,distribution,ks,0.12372093023255815
concomp_sizes,distribution,emd,15.263255813953485
conductance,distribution,ks,0.1724137931034483
conductance,distribution,emd,0.04889681325283526
degree,distribution,ks,0.09238728750923873
degree,distribution,emd,6.529835587338419
degree_density,distribution,ks,0.19540229885057472
degree_density,distribution,emd,0.5559757819533149
edge_density,distribution,ks,0.367816091954023
edge_density,distribution,emd,0.2401624586978302
kcore,distribution,ks,0.17991169977924945
kcore,distribution,emd,5.495609462416118
local_ccoeff_nodes,distribution,ks,0.42917382515185776
local_ccoeff_nodes,distribution,emd,0.2783364621459108
m,distribution,ks,0.11494252873563218
m,distribution,emd,10.931034482758614
mincut,distribution,ks,0.2413793103448276
mincut,distribution,emd,1.160919540229885
mixing_parameter,distribution,ks,0.05408388520971302
mixing_parameter,distribution,emd,0.014612453741195573
modularity,distribution,ks,0.39080459770114945
modularity,distribution,emd,0.00023809104829810543
n,distribution,ks,0.0
n,distribution,emd,0.0
pagerank,distribution,ks,0.10834153194030435
pagerank,distribution,emd,0.00013090835713510833
c,sequence,l1,3698.0
